"Sample","Ground_Truth","Predicted","Difference"
"X100120","103","62.8557066617494",-40.1442933382506
"X100165","35","32.6107711484155",-2.3892288515845
"X101417","75","18.9151081510694",-56.0848918489306
"X101573","59","38.625183274193",-20.374816725807
"X103811","82","62.3497702947524",-19.6502297052476
"X104111","87","64.7924826581691",-22.2075173418309
"X104425","76","69.4980513308984",-6.50194866910159
"X105191","77","58.6281146266898",-18.3718853733102
"X105280","74","49.0378607975663",-24.9621392024337
"X105437","42","31.6469465781368",-10.3530534218632
"X10556","65","57.9887138422836",-7.0112861577164
"X10585","48","49.0016173257945",1.0016173257945
"X106636","87","69.8741857031991",-17.1258142968009
"X107471","85","79.9637643290391",-5.03623567096091
"X107894","65","51.820388678925",-13.179611321075
"X108670","96","73.6610849873763",-22.3389150126237
"X108787","68","62.1887641281091",-5.8112358718909
"X110638","85","52.581429113857",-32.418570886143
"X110937","76","45.3404401959059",-30.6595598040941
"X112139","74","71.2685189636424",-2.73148103635759
"X112451","63","60.8212878647583",-2.1787121352417
"X112648","63","63.7436693915239",0.743669391523902
"X113790","54","43.9478123056145",-10.0521876943855
"X114269","72","60.5208000477174",-11.4791999522826
"X114463","73","68.7124698084318",-4.28753019156819
"X114517","70","26.6282232364692",-43.3717767635308
"X115607","84","63.5756724611271",-20.4243275388729
"X117477","72","74.8017346162032",2.80173461620321
"X117711","31","37.8236298301811",6.8236298301811
"X119624","35","28.2675725279234",-6.7324274720766
"X119765","75","55.2121384397651",-19.7878615602349
"X119833","70","50.97662213254",-19.02337786746
"X123774","72","58.9934499582513",-13.0065500417487
"X12498","50","35.7734646160086",-14.2265353839914
"X12515","79","43.4116077382663",-35.5883922617337
"X126024","96","71.4534335581615",-24.5465664418385
"X126254","78","66.6401360783242",-11.3598639216758
"X126536","76","72.1565877746016",-3.8434122253984
"X127107","90","59.5129506971639",-30.4870493028361
"X127256","66","40.4348145954634",-25.5651854045366
"X128677","87","36.6659484171369",-50.3340515828631
"X130623","68","69.3263879007663",1.32638790076631
"X132134","76","63.3166882623161",-12.6833117376839
"X132772","61","43.7101475797943",-17.2898524202057
"X133308","62","41.5792960734628",-20.4207039265372
"X134046","79","74.7974082182407",-4.2025917817593
"X134459","75","67.2400824683622",-7.7599175316378
"X135261","74","68.1983648571559",-5.80163514284411
"X138103","65","35.9317514312504",-29.0682485687496
"X140045","64","53.517351129648",-10.482648870352
"X141059","62","51.3532286701796",-10.6467713298204
"X141932","83","74.1169523625278",-8.8830476374722
"X142869","69","57.717665311672",-11.282334688328
"X144008","82","25.5782169912927",-56.4217830087073
"X144592","52","50.0805347063698",-1.9194652936302
"X146054","79","68.335904879514",-10.664095120486
"X146189","78","56.4920255616911",-21.5079744383089
"X148666","65","42.7325530810365",-22.2674469189635
"X149215","80","66.1215382683173",-13.8784617316827
"X149317","45","42.2635403334157",-2.7364596665843
"X150347","55","51.9903588774062",-3.0096411225938
"X150811","90","72.399649230016",-17.600350769984
"X1540949","49","34.8880354146151",-14.1119645853849
"X155606","52","45.5861219555271",-6.4138780444729
"X157736","74","42.6168480606942",-31.3831519393058
"X158151","76","73.9740500267324",-2.0259499732676
"X1583280","62","70.0344099859392",8.03440998593921
"X159562","91","68.4700544003383",-22.5299455996617
"X16412","73","51.5414594724977",-21.4585405275023
"X1645254","42","54.449187200718",12.449187200718
"X165971","69","31.3997663497908",-37.6002336502092
"X1670333","30","19.0619201541239",-10.9380798458761
"X167089","83","71.8738192453146",-11.1261807546854
"X1672043","52","41.148161827057",-10.851838172943
"X167363","85","70.0462358656172",-14.9537641343828
"X1680543","26","40.3491941956914",14.3491941956914
"X1680763","48","28.0593239067569",-19.9406760932431
"X1680767","35","22.8527873908643",-12.1472126091357
"X1680791","32","26.4071113114011",-5.5928886885989
"X1680876","68","68.7738594962565",0.773859496256506
"X168794","53","34.3579545429495",-18.6420454570505
"X16945","65","53.4691895744842",-11.5308104255158
"X169514","82","20.5848372809514",-61.4151627190486
"X171287","43","30.0894392903457",-12.9105607096543
"X171529","81","71.7330422232292",-9.26695777677079
"X173106","54","27.9120627675621",-26.0879372324379
"X173327","71","70.2557972580288",-0.744202741971193
"X173816","41","47.7529999348714",6.7529999348714
"X174011","87","60.2359196200647",-26.7640803799353
"X174247","100","74.3303017561332",-25.6696982438668
"X175096","57","49.4352806885684",-7.5647193114316
"X176324","83","74.5727509343872",-8.4272490656128
"X179651","64","46.8252606165795",-17.1747393834205
"X180502","93","70.35675229172",-22.64324770828
"X181481","66","27.3656881862024",-38.6343118137976
"X185762","84","44.4851992131019",-39.5148007868981
"X186976","76","51.7882074695303",-24.2117925304697
"X187390","74","73.5441198821293",-0.455880117870706
"X189027","62","20.4603567551689",-41.5396432448311
"X190605","62","69.0078320437326",7.00783204373261
"X19237","62","59.2846912203849",-2.7153087796151
"X193322","75","72.622340912442",-2.377659087558
"X193622","63","52.5724561287351",-10.4275438712649
"X194357","87","61.8407913857084",-25.1592086142916
"X194960","29","28.3919301591899",-0.608069840810099
"X196476","58","48.2430203785894",-9.7569796214106
"X198056","59","63.3548302607985",4.3548302607985
"X198479","73","54.2539901622707",-18.7460098377293
"X198870","94","69.9091604966568",-24.0908395033432
"X200896","52","58.856946014317",6.856946014317
"X201893","88","70.4011322490108",-17.5988677509892
"X203835","87","36.4972653318343",-50.5027346681657
"X205822","87","47.2462284184382",-39.7537715815618
"X207030","77","39.570627548103",-37.429372451897
"X207167","71","68.4268285688435",-2.5731714311565
"X207489","76","65.3648498872867",-10.6351501127133
"X208244","95","64.9224277530191",-30.0775722469809
"X208485","84","47.3373674609013",-36.6626325390987
"X209834","93","73.2927274442028",-19.7072725557972
"X211709","84","71.6244843854041",-12.3755156145959
"X213020","66","70.844935898936",4.844935898936
"X213599","55","26.9054332271186",-28.0945667728814
"X215720","69","50.7848837017947",-18.2151162982053
"X216883","89","59.72667442117",-29.27332557883
"X220317","86","74.2404313150113",-11.7595686849887
"X220340","67","62.4495031522843",-4.5504968477157
"X222661","72","68.8926850970792",-3.10731490292081
"X224510","61","45.7566706954423",-15.2433293045577
"X225498","90","69.6755751590266",-20.3244248409734
"X225973","51","42.6782666970704",-8.3217333029296
"X228198","42","38.5312535312134",-3.4687464687866
"X22974","73","62.4015454023925",-10.5984545976075
"X230093","96","75.3548024575602",-20.6451975424398
"X231373","36","34.150770655598",-1.849229344402
"X23240","81","74.7639743624789",-6.2360256375211
"X233635","87","60.7370696567084",-26.2629303432916
"X235225","72","55.8808352697864",-16.1191647302136
"X237245","79","69.6269516587891",-9.3730483412109
"X237743","64","35.9386690849732",-28.0613309150268
"X238166","69","55.9197309528048",-13.0802690471952
"X238230","59","42.6139559017193",-16.3860440982807
"X238637","87","69.2794580830961",-17.7205419169039
"X2400","75","70.8557075279179",-4.1442924720821
"X241321","64","51.869374190837",-12.130625809163
"X241772","89","68.3145394096075",-20.6854605903925
"X242520","100","73.5403438181424",-26.4596561818576
"X24291","68","48.3047510450995",-19.6952489549005
"X243218","75","56.8470556874498",-18.1529443125502
"X244762","72","67.7284849625779",-4.27151503742211
"X246289","88","69.9011313920769",-18.0988686079231
"X247671","68","69.3152089966701",1.31520899667009
"X248640","78","74.5194376609963",-3.4805623390037
"X249799","75","73.0110153980309",-1.98898460196909
"X250709","70","58.293054596164",-11.706945403836
"X252065","85","68.2705250162642",-16.7294749837358
"X252473","60","35.5387764156686",-24.4612235843314
"X252666","75","50.7441246204625",-24.2558753795375
"X252925","24","29.0365150590494",5.0365150590494
"X253372","51","35.2058522824527",-15.7941477175473
"X253675","76","69.931022542229",-6.068977457771
"X253801","67","68.4954561336139",1.4954561336139
"X253859","90","67.3355499613988",-22.6644500386012
"X254805","75","73.6742913087708",-1.3257086912292
"X256278","76","70.6588568864278",-5.3411431135722
"X262929","56","45.5265229922498",-10.4734770077502
"X263210","63","50.7870950685062",-12.2129049314938
"X264308","69","75.3611045654886",6.3611045654886
"X264880","77","67.5681674411986",-9.4318325588014
"X265068","42","38.7887718394606",-3.2112281605394
"X265306","27","19.092859047603",-7.907140952397
"X267600","90","69.114914998609",-20.885085001391
"X267780","74","68.2060065583634",-5.7939934416366
"X267812","89","72.2444501217469",-16.7555498782531
"X268302","73","71.3887095727434",-1.61129042725661
"X268609","57","54.6872079785642",-2.3127920214358
"X271446","23","19.0162882114705",-3.9837117885295
"X273258","66","45.780116058767",-20.219883941233
"X273424","85","38.8199457196424",-46.1800542803576
"X274912","93","62.5705498787419",-30.4294501212581
"X275489","81","56.0660384425742",-24.9339615574258
"X275927","62","57.209550235069",-4.790449764931
"X276298","44","52.6396005679238",8.6396005679238
"X276843","77","62.6255976581755",-14.3744023418245
"X277524","84","22.3630332494213",-61.6369667505787
"X278423","74","67.4900346614791",-6.5099653385209
"X279168","82","73.9356156893793",-8.0643843106207
"X283200","89","56.9274134849048",-32.0725865150952
"X286186","76","67.1464026491469",-8.85359735085309
"X286938","88","76.1226464957423",-11.8773535042577
"X2874","74","60.6925027572571",-13.3074972427429
"X288936","76","62.457552905024",-13.542447094976
"X289495","60","22.047633402888",-37.952366597112
"X290940","89","69.5678755367028",-19.4321244632972
"X292970","84","74.3700269449903",-9.6299730550097
"X293045","83","71.0141639952404",-11.9858360047596
"X294013","84","50.3567388101458",-33.6432611898542
"X295004","77","54.4578402549955",-22.5421597450045
"X295374","61","46.443273833663",-14.556726166337
"X296032","76","52.5147300112229",-23.4852699887771
"X29636","70","64.4038658605142",-5.5961341394858
"X297432","70","56.286308890933",-13.713691109067
"X298723","51","42.9025597830357",-8.0974402169643
"X299107","47","46.2316652731885",-0.768334726811503
"X299240","64","61.6406930736646",-2.3593069263354
"X299847","73","72.8690977546429",-0.130902245357106
"X300119","83","68.8316904558166",-14.1683095441834
"X301168","86","49.8734384508675",-36.1265615491325
"X301334","72","62.8690156486575",-9.1309843513425
"X302793","91","67.4472294953153",-23.5527705046847
"X306518","85","52.2961522111748",-32.7038477888252
"X307701","52","52.5940319600813",0.594031960081303
"X309354","96","69.6739971814818",-26.3260028185182
"X312547","78","67.7531120376344",-10.2468879623656
"X312966","70","62.8363090143242",-7.1636909856758
"X314377","88","60.6748276870292",-27.3251723129708
"X316393","61","41.7679109380745",-19.2320890619255
"X317200","64","53.1351307080412",-10.8648692919588
"X317594","43","26.6767774805333",-16.3232225194667
"X319495","53","63.8015446962031",10.8015446962031
"X320152","72","66.8640730067724",-5.1359269932276
"X320497","82","61.1646243613764",-20.8353756386236
"X322654","75","35.4753105968507",-39.5246894031493
"X322874","37","18.8656937936587",-18.1343062063413
"X323932","71","67.0660893233529",-3.9339106766471
"X325016","72","53.1903363121568",-18.8096636878432
"X326021","36","34.5029973533633",-1.4970026466367
"X326757","86","67.7682432518838",-18.2317567481162
"X326995","85","69.0006364623516",-15.9993635376484
"X329383","86","73.2046867928017",-12.7953132071983
"X330234","90","44.8719858074681",-45.1280141925319
"X332364","60","49.9579003295872",-10.0420996704128
"X334877","56","48.1875950968976",-7.8124049031024
"X336322","56","55.0881105969064",-0.911889403093603
"X339206","83","68.2594464386441",-14.7405535613559
"X339710","25","22.7011955714722",-2.2988044285278
"X342321","70","46.0595537289263",-23.9404462710737
"X345627","97","73.7596333060996",-23.2403666939004
"X349314","87","47.1142391480813",-39.8857608519187
"X351078","68","66.6113190118199",-1.3886809881801
"X352864","76","73.7071369424727",-2.2928630575273
"X352957","51","53.2134838860143",2.2134838860143
"X35301","81","53.1480287885817",-27.8519712114183
"X353165","66","48.0421699888464",-17.9578300111536
"X354382","68","54.5627677572644",-13.4372322427356
"X355723","93","56.7044923310104",-36.2955076689896
"X356012","72","70.1615474345928",-1.8384525654072
"X359070","54","22.137411985471",-31.862588014529
"X360387","84","48.5094413776254",-35.4905586223746
"X365080","54","49.9568588506623",-4.0431411493377
"X365547","77","78.5653914794507",1.5653914794507
"X366206","78","20.7580362256611",-57.2419637743389
"X369299","75","62.7329816843106",-12.2670183156894
"X369546","36","25.585293388884",-10.414706611116
"X373059","70","71.5264577721271",1.5264577721271
"X373343","20","64.8482547033236",44.8482547033236
"X37372","60","43.6396986710391",-16.3603013289609
"X378279","38","19.0804825622246",-18.9195174377754
"X378757","69","56.3501776911598",-12.6498223088402
"X379948","91","74.6522526678362",-16.3477473321638
"X383038","88","61.3966301548389",-26.6033698451611
"X383622","68","34.3645898347069",-33.6354101652931
"X390239","73","25.9988399276202",-47.0011600723798
"X393862","82","55.7638660092186",-26.2361339907814
"X397233","98","73.7485702364385",-24.2514297635615
"X39995","100","23.946201393098",-76.053798606902
"X403230","45","32.5759779892636",-12.4240220107364
"X405021","63","49.1536041408476",-13.8463958591524
"X407790","73","49.9430686177703",-23.0569313822297
"X408871","70","22.4008595553026",-47.5991404446974
"X411073","54","41.7476873591282",-12.2523126408718
"X411305","50","56.1287067757846",6.1287067757846
"X413312","69","53.2784076773049",-15.7215923226951
"X415235","63","67.7550226424603",4.7550226424603
"X417195","86","57.4666726947692",-28.5333273052308
"X42003","87","56.3179044593535",-30.6820955406465
"X420765","77","52.4950722276674",-24.5049277723326
"X421579","60","51.3243240016382",-8.6756759983618
"X421766","74","19.1147553390638",-54.8852446609362
"X421823","70","67.4760038425646",-2.52399615743541
"X422345","73","42.530376619679",-30.469623380321
"X424676","66","62.1723691672526",-3.8276308327474
"X430499","93","69.820585478538",-23.179414521462
"X430909","76","45.7059490139136",-30.2940509860864
"X432426","72","55.7570665154701",-16.2429334845299
"X438159","73","52.099250751587",-20.900749248413
"X438661","75","66.4532115931351",-8.54678840686491
"X438972","86","75.8246278712082",-10.1753721287918
"X445532","90","63.6259648264099",-26.3740351735901
"X452065","36","29.9992403899101",-6.0007596100899
"X45261","76","69.9253664500561",-6.0746335499439
"X453262","39","24.2164222098779",-14.7835777901221
"X453688","94","60.7041485106246",-33.2958514893754
"X455852","78","55.4149776138076",-22.5850223861924
"X461518","51","54.1436853620735",3.1436853620735
"X461989","75","53.6615758060067",-21.3384241939933
"X46244","83","57.1381215570969",-25.8618784429031
"X469186","80","62.0712242405677",-17.9287757594323
"X470177","43","45.6682660980625",2.6682660980625
"X472216","83","43.4803162716637",-39.5196837283363
"X473038","44","51.2452882908409",7.2452882908409
"X473936","64","67.9309892247503",3.93098922475031
"X474099","79","50.2147054227667",-28.7852945772333
"X474620","65","59.9089771327267",-5.0910228672733
"X476334","79","56.4405670963464",-22.5594329036536
"X476762","83","69.105481252686",-13.894518747314
"X478537","68","61.4060850464836",-6.5939149535164
"X478662","61","49.0094055511405",-11.9905944488595
"X479071","50","52.7328748072578",2.7328748072578
"X479135","70","59.3533835815822",-10.6466164184178
"X479697","58","54.7810935855177",-3.2189064144823
"X481223","39","34.9446498134434",-4.0553501865566
"X481280","90","72.6164774409316",-17.3835225590684
"X481652","81","57.8820161999997",-23.1179838000003
"X482513","80","42.3438553721445",-37.6561446278555
"X48267","50","53.4204353849056",3.4204353849056
"X484433","28","25.0814908046611",-2.9185091953389
"X485654","61","55.1975276144519",-5.8024723855481
"X486705","43","18.9997178960781",-24.0002821039219
"X486763","65","63.0289740621342",-1.9710259378658
"X488566","65","47.8284937244836",-17.1715062755164
"X488905","44","39.8417064918947",-4.1582935081053
"X489651","78","72.1637334876659",-5.83626651233411
"X493676","78","52.3983551729616",-25.6016448270384
"X495426","88","74.3301822831875",-13.6698177168125
"X495902","85","67.0476227642889",-17.9523772357111
"X496850","69","64.2453579195526",-4.7546420804474
"X50077","72","58.7402103801801",-13.2597896198199
"X500776","51","23.0182329315411",-27.9817670684589
"X50120","75","48.6953420659138",-26.3046579340862
"X501280","52","38.8207142903647",-13.1792857096353
"X501575","92","73.9976436886618",-18.0023563113382
"X50194","92","73.525268938527",-18.474731061473
"X502112","68","69.8079427419504",1.8079427419504
"X509468","78","43.2618245019169",-34.7381754980831
"X512103","64","44.1900932730154",-19.8099067269846
"X512642","70","34.2713272424771",-35.7286727575229
"X512889","86","75.4428015503078",-10.5571984496922
"X51420","54","56.2509659791654",2.2509659791654
"X514751","64","67.8989361614069",3.89893616140689
"X516524","42","40.3618844323917",-1.6381155676083
"X517266","49","67.8712713304068",18.8712713304068
"X517418","60","56.3508124692085",-3.6491875307915
"X518483","60","47.4495258600108",-12.5504741399892
"X519360","53","62.7942885061522",9.7942885061522
"X519924","62","59.9931584646928",-2.0068415353072
"X519991","50","51.2076426043383",1.2076426043383
"X521686","96","52.5187578196858",-43.4812421803142
"X524165","48","48.2608285323998",0.260828532399799
"X525490","60","49.7930927640535",-10.2069072359465
"X526083","75","62.4595950347735",-12.5404049652265
"X528810","75","19.0050015618844",-55.9949984381156
"X53017","94","51.9437030449912",-42.0562969550088
"X530239","71","69.9596721406964",-1.0403278593036
"X531154","53","47.5460545964578",-5.4539454035422
"X531194","43","38.3622277871063",-4.6377722128937
"X533029","67","31.7698469556132",-35.2301530443868
"X53307","76","69.3028362910489",-6.69716370895109
"X537641","65","67.3257733469444",2.3257733469444
"X537650","77","53.8199971828426",-23.1800028171574
"X53805","61","18.987985718111",-42.012014281889
"X541955","67","62.8992032298648",-4.1007967701352
"X543588","90","69.5352466679251",-20.4647533320749
"X544561","94","64.780658733479",-29.219341266521
"X545629","57","46.6839862183456",-10.3160137816544
