"Sample","Ground_Truth","Predicted","Difference"
"X100120","103","74.1135779206208",-28.8864220793792
"X100165","35","30.4146482893284",-4.5853517106716
"X101417","75","126.273705147816",51.273705147816
"X101573","59","55.2766081129367",-3.7233918870633
"X103811","82","64.5082069577999",-17.4917930422001
"X104111","87","87.3642135156714",0.364213515671395
"X104425","76","51.1732529805123",-24.8267470194877
"X105191","77","54.1633510563801",-22.8366489436199
"X105280","74","51.821045912274",-22.178954087726
"X105437","42","36.2891164621647",-5.7108835378353
"X10556","65","45.249492860826",-19.750507139174
"X10585","48","40.121369089873",-7.878630910127
"X106636","87","58.338087377697",-28.661912622303
"X107471","85","74.7013473189474",-10.2986526810526
"X107894","65","52.6848614967169",-12.3151385032831
"X108670","96","67.506205716553",-28.493794283447
"X108787","68","50.2653227704762",-17.7346772295238
"X110638","85","52.887138498639",-32.112861501361
"X110937","76","56.2076669450334",-19.7923330549666
"X112139","74","45.1948205196074",-28.8051794803926
"X112451","63","54.3806310150089",-8.6193689849911
"X112648","63","47.068703854698",-15.931296145302
"X113790","54","44.4239731540585",-9.5760268459415
"X114269","72","50.6103958821766",-21.3896041178234
"X114463","73","57.2566500182946",-15.7433499817054
"X114517","70","32.8548004586064",-37.1451995413936
"X115607","84","59.5196326720115",-24.4803673279885
"X117477","72","67.3372334028369",-4.6627665971631
"X117711","31","40.5292033791715",9.5292033791715
"X119624","35","31.5034411309389",-3.4965588690611
"X119765","75","44.5478152656465",-30.4521847343535
"X119833","70","50.846604064437",-19.153395935563
"X123774","72","51.3615546572351",-20.6384453427649
"X12498","50","49.4664540928602",-0.533545907139803
"X12515","79","66.8806140244071",-12.1193859755929
"X126024","96","44.176578334171",-51.823421665829
"X126254","78","54.9700309847569",-23.0299690152431
"X126536","76","58.9490648877437",-17.0509351122563
"X127107","90","77.3191385928948",-12.6808614071052
"X127256","66","56.6245344449659",-9.3754655550341
"X128677","87","90.9104998031289",3.9104998031289
"X130623","68","69.0828839708915",1.0828839708915
"X132134","76","56.8102293852467",-19.1897706147533
"X132772","61","63.774547045656",2.774547045656
"X133308","62","43.1591867045222",-18.8408132954778
"X134046","79","61.9892619437313",-17.0107380562687
"X134459","75","55.1348604990177",-19.8651395009823
"X135261","74","64.5285762589393",-9.4714237410607
"X138103","65","73.3775611919293",8.3775611919293
"X140045","64","55.2092717622672",-8.7907282377328
"X141059","62","37.3826235670302",-24.6173764329698
"X141932","83","52.4540588446579",-30.5459411553421
"X142869","69","57.7580581393899",-11.2419418606101
"X144008","82","70.4423748563374",-11.5576251436626
"X144592","52","49.0294129309818",-2.9705870690182
"X146054","79","39.8903061206515",-39.1096938793485
"X146189","78","61.9273645607946",-16.0726354392054
"X148666","65","52.4820139040144",-12.5179860959856
"X149215","80","70.0774168080387",-9.92258319196129
"X149317","45","35.8627714869049",-9.1372285130951
"X150347","55","49.1940445157858",-5.8059554842142
"X150811","90","69.8651052382585",-20.1348947617415
"X1540949","49","35.9656680862628",-13.0343319137372
"X155606","52","56.7080538769179",4.7080538769179
"X157736","74","59.273801289191",-14.726198710809
"X158151","76","80.0112333937947",4.0112333937947
"X1583280","62","66.7486004658661",4.7486004658661
"X159562","91","49.6965673656579",-41.3034326343421
"X16412","73","61.2150598231868",-11.7849401768132
"X1645254","42","43.3904766373325",1.3904766373325
"X165971","69","58.0140434146835",-10.9859565853165
"X1670333","30","43.0326116949629",13.0326116949629
"X167089","83","60.9744909162725",-22.0255090837275
"X1672043","52","34.4399190862489",-17.5600809137511
"X167363","85","53.8494145956503",-31.1505854043497
"X1680543","26","41.4880839422314",15.4880839422314
"X1680763","48","38.1546768858052",-9.8453231141948
"X1680767","35","36.0722116989911",1.0722116989911
"X1680791","32","37.5375250225655",5.5375250225655
"X1680876","68","49.8038164388375",-18.1961835611625
"X168794","53","49.0728351876739",-3.9271648123261
"X16945","65","55.0641910538537",-9.9358089461463
"X169514","82","81.257544059803",-0.742455940197004
"X171287","43","38.7246795093746",-4.2753204906254
"X171529","81","54.3890728804357",-26.6109271195643
"X173106","54","52.2129031208923",-1.7870968791077
"X173327","71","43.899283057995",-27.100716942005
"X173816","41","42.3270489152379",1.3270489152379
"X174011","87","83.9092230091485",-3.0907769908515
"X174247","100","62.2297555741023",-37.7702444258977
"X175096","57","49.353002978356",-7.646997021644
"X176324","83","70.5051853419653",-12.4948146580347
"X179651","64","48.2268671539349",-15.7731328460651
"X180502","93","66.0364643985426",-26.9635356014574
"X181481","66","49.81530967281",-16.18469032719
"X185762","84","61.35469706833",-22.64530293167
"X186976","76","45.7148795436362",-30.2851204563638
"X187390","74","64.5627949961511",-9.4372050038489
