"Sample","Ground_Truth","Predicted","Difference"
"GSM989827","67","40.3308010216113",-26.6691989783887
"GSM989828","89","54.689623114273",-34.310376885727
"GSM989829","66","49.8009196035687",-16.1990803964313
"GSM989830","64","54.4811337527065",-9.5188662472935
"GSM989831","62","42.4760776268228",-19.5239223731772
"GSM989832","87","71.7777425490648",-15.2222574509352
"GSM989833","73","58.6750939177532",-14.3249060822468
"GSM989834","75","59.4157868580252",-15.5842131419748
"GSM989835","73","47.8842214873794",-25.1157785126206
"GSM989836","83","61.7269301906961",-21.2730698093039
"GSM989837","82","73.7656453313508",-8.2343546686492
"GSM989838","48","48.4125261880677",0.412526188067702
"GSM989839","77","61.8509333078791",-15.1490666921209
"GSM989840","54","18.8280688272316",-35.1719311727684
"GSM989841","63","42.8991529434858",-20.1008470565142
"GSM989842","71","32.7047976364886",-38.2952023635114
"GSM989843","68","56.7631741657146",-11.2368258342854
"GSM989844","80","59.708067187827",-20.291932812173
"GSM989845","92","58.7651852994722",-33.2348147005278
"GSM989847","79","60.1618517091324",-18.8381482908676
"GSM989849","93","66.8650404207654",-26.1349595792346
"GSM989850","84","51.3575646214221",-32.6424353785779
"GSM989851","74","44.3712987731493",-29.6287012268507
"GSM989852","74","53.5669884077257",-20.4330115922743
"GSM989853","76","60.6794133389451",-15.3205866610549
"GSM989854","56","43.776587734552",-12.223412265448
"GSM989855","72","48.9397497019081",-23.0602502980919
"GSM989856","75","55.6187905763907",-19.3812094236093
"GSM989857","79","65.9561861730659",-13.0438138269341
"GSM989858","73","99.93871652384",26.93871652384
"GSM989859","82","61.1786095657548",-20.8213904342452
"GSM989860","74","50.2644105885207",-23.7355894114793
"GSM989861","79","75.412266555397",-3.587733444603
"GSM989862","54","47.9900928452294",-6.0099071547706
"GSM989863","101","56.5484077180655",-44.4515922819345
"GSM989864","79","54.7447344941846",-24.2552655058154
"GSM989865","84","51.0660663456288",-32.9339336543712
"GSM989866","85","46.8914352791923",-38.1085647208077
"GSM989867","87","52.0243790276553",-34.9756209723447
"GSM989869","77","53.4978740192573",-23.5021259807427
"GSM989870","73","51.7426738793128",-21.2573261206872
"GSM989871","87","64.6068608784931",-22.3931391215069
"GSM989872","85","55.4568512005977",-29.5431487994023
"GSM989873","88","61.1732169080799",-26.8267830919201
"GSM989874","66","51.5201581981149",-14.4798418018851
"GSM989875","78","59.9655475576049",-18.0344524423951
"GSM989876","53","47.4295565842398",-5.5704434157602
"GSM989877","76","54.7334631111255",-21.2665368888745
"GSM989878","67","44.6876697239623",-22.3123302760377
"GSM989879","73","68.3881502581554",-4.61184974184459
"GSM989880","54","41.4758217514976",-12.5241782485024
"GSM989881","73","56.1737114286303",-16.8262885713697
"GSM989882","96","64.7941705171171",-31.2058294828829
"GSM989883","57","41.965521415083",-15.034478584917
"GSM989884","76","42.5806970028617",-33.4193029971383
"GSM989885","47","27.877978927728",-19.122021072272
"GSM989886","54","30.9095422093384",-23.0904577906616
"GSM989887","73","46.7442563146928",-26.2557436853072
"GSM989888","84","53.7313857695593",-30.2686142304407
"GSM989890","89","80.1677963828553",-8.8322036171447
"GSM989891","68","60.3284304327648",-7.6715695672352
"GSM989892","62","53.5545350039414",-8.4454649960586
"GSM989893","79","52.0385105268067",-26.9614894731933
"GSM989894","72","45.747585327367",-26.252414672633
"GSM989895","69","14.9537831433893",-54.0462168566107
"GSM989896","55","60.0344234830537",5.0344234830537
"GSM989897","73","57.6531157094929",-15.3468842905071
"GSM989898","79","45.7731101449966",-33.2268898550034
"GSM989899","72","42.8815609807641",-29.1184390192359
"GSM989900","89","56.5708726322268",-32.4291273677732
"GSM989901","79","53.5187820759251",-25.4812179240749
"GSM989902","85","65.2909231961003",-19.7090768038997
"GSM989903","68","46.322775019406",-21.677224980594
"GSM989905","73","58.4729637775338",-14.5270362224662
"GSM989906","63","34.4651719349802",-28.5348280650198
"GSM989908","65","27.7973238142183",-37.2026761857817
"GSM989910","89","58.2285556758896",-30.7714443241104
"GSM989912","66","31.9818055169238",-34.0181944830762
"GSM989913","76","50.4795009066776",-25.5204990933224
"GSM989914","74","68.4941446228953",-5.50585537710469
"GSM989915","84","42.2201780465108",-41.7798219534892
"GSM989916","71","72.02335814119",1.02335814119
"GSM989917","49","45.2158441541997",-3.7841558458003
"GSM989918","69","48.7070772651794",-20.2929227348206
"GSM989919","63","57.3226264691667",-5.6773735308333
"GSM989921","85","57.4818534787921",-27.5181465212079
"GSM989922","76","54.2377134064556",-21.7622865935444
"GSM989923","84","102.28436855668",18.28436855668
"GSM989924","59","33.6734479193923",-25.3265520806077
