"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"avNNet",0.583744934625,0.028291471527266,0.0356251375957469,1,1,"full_before_split","split_separate"
2,"avNNet",0.587552608856764,0.025670587049939,0.0321481995771209,2,1,"full_before_split","split_separate"
3,"avNNet",0.569667426129463,0.0280759664879938,0.035369214495014,3,1,"full_before_split","split_separate"
4,"avNNet",0.585179113972566,0.0265987450454028,0.0333490083446114,4,1,"full_before_split","split_separate"
5,"avNNet",0.615256484348886,0.0250901474928304,0.0314685113220443,5,1,"full_before_split","split_separate"
6,"avNNet",0.533827361807874,0.0287152514974026,0.0363428358528987,6,1,"full_before_split","split_separate"
7,"avNNet",0.545287320005676,0.0262123495094454,0.0329929490049325,7,1,"full_before_split","split_separate"
8,"avNNet",0.585950959989836,0.0260690936196412,0.0325568139385594,8,1,"full_before_split","split_separate"
9,"avNNet",0.531672707340611,0.0269355756734199,0.0333551841739203,9,1,"full_before_split","split_separate"
10,"avNNet",0.494918637226876,0.0281450672141662,0.0356561346283299,10,1,"full_before_split","split_separate"
11,"avNNet",0.587366169012498,0.0276966253685862,0.0347593765461141,11,1,"full_before_split","split_separate"
12,"avNNet",0.545445269324272,0.0292076809303201,0.0364969242458068,12,1,"full_before_split","split_separate"
13,"avNNet",0.622821287787151,0.0258763563407286,0.0326965562742691,13,1,"full_before_split","split_separate"
14,"avNNet",0.57287993860534,0.0251410173303475,0.0325993207860612,14,1,"full_before_split","split_separate"
15,"avNNet",0.498113619405267,0.0258497994158161,0.0330630339707414,15,1,"full_before_split","split_separate"
16,"avNNet",0.539130619788629,0.0278228930221122,0.0363293978879282,16,1,"full_before_split","split_separate"
17,"avNNet",0.591123525628558,0.0289730422966815,0.0354685366668829,17,1,"full_before_split","split_separate"
18,"avNNet",0.631717312564696,0.0236848742017246,0.0298610900679616,18,1,"full_before_split","split_separate"
19,"avNNet",0.494112218037831,0.0267841220442259,0.0349684588518857,19,1,"full_before_split","split_separate"
20,"avNNet",0.575737514043484,0.0254530087411864,0.0325411625096304,20,1,"full_before_split","split_separate"
21,"avNNet",0.57632374490596,0.0262831299082784,0.0332767334924979,21,1,"full_before_split","split_separate"
22,"avNNet",0.52655461609922,0.0276126157770275,0.0338179332691497,22,1,"full_before_split","split_separate"
23,"avNNet",0.570197806718953,0.0268639648214326,0.0331304874476968,23,1,"full_before_split","split_separate"
24,"avNNet",0.539198411589679,0.0263495491510604,0.0344054040800028,24,1,"full_before_split","split_separate"
25,"avNNet",0.613903611100045,0.0261299322879783,0.0335590124487419,25,1,"full_before_split","split_separate"
26,"avNNet",0.582251294284711,0.0264520394094761,0.0338409723259453,26,1,"full_before_split","split_separate"
27,"avNNet",0.627279373307653,0.025763295412928,0.0330825795735651,27,1,"full_before_split","split_separate"
28,"avNNet",0.579908588195567,0.0277378849612958,0.0350808235953663,28,1,"full_before_split","split_separate"
29,"avNNet",0.562073678428353,0.0273974787511399,0.0344866648380058,29,1,"full_before_split","split_separate"
30,"avNNet",0.582075544013575,0.0265561415664408,0.0337073557901311,30,1,"full_before_split","split_separate"
31,"avNNet",0.592131469850292,0.0274138784771419,0.0341714411226367,31,1,"full_before_split","split_separate"
