"Sample","Ground_Truth","Predicted","Difference"
"X200550980002_R01C01","74.96","42.9305441920894",-32.0294558079106
"X200550980002_R02C01","31.46","18.756843438378",-12.703156561622
"X200550980002_R03C01","46.72","38.8416756506337",-7.8783243493663
"X200550980002_R04C01","46.36","26.9574074069411",-19.4025925930589
"X200550980002_R05C01","53.56","31.5683786202114",-21.9916213797886
"X200550980002_R06C01","56.36","44.3945098399589",-11.9654901600411
"X200550980002_R07C01","59","46.4090177015762",-12.5909822984238
"X200550980002_R08C01","55.22","37.503627274895",-17.716372725105
"X200550980010_R01C01","70.44","68.8670610336946",-1.5729389663054
"X200550980010_R03C01","58.58","31.131783482022",-27.448216517978
"X200550980010_R04C01","56.24","37.0597300972774",-19.1802699027226
"X200550980010_R05C01","43.12","38.5670302950056",-4.5529697049944
"X200550980010_R06C01","39.8","22.6984012721088",-17.1015987278912
"X200550980010_R07C01","52.22","22.9844849113621",-29.2355150886379
"X200550980010_R08C01","40.76","22.0208797975251",-18.7391202024749
"X200550980025_R01C01","39.62","20.8285415107893",-18.7914584892107
"X200550980025_R02C01","58","35.096330947552",-22.903669052448
"X200550980025_R03C01","36.4","22.7028098038509",-13.6971901961491
"X200550980025_R04C01","39.2","37.6283200069836",-1.5716799930164
"X200550980025_R05C01","47.08","33.0291164058667",-14.0508835941333
"X200550980025_R06C01","45.16","35.2292874634801",-9.9307125365199
"X200550980025_R07C01","44.14","39.9824962160329",-4.1575037839671
"X200550980025_R08C01","71.98","35.5907168950503",-36.3892831049497
"X200550980034_R01C01","55.28","36.0810636376411",-19.1989363623589
"X200550980034_R02C01","64.1","43.5224828940295",-20.5775171059705
"X200550980034_R03C01","39.6","31.9296170183259",-7.6703829816741
"X200550980034_R04C01","48","26.2272748859239",-21.7727251140761
"X200550980034_R05C01","74.78","26.5645843870343",-48.2154156129657
"X200550980034_R06C01","58.46","41.3800917090376",-17.0799082909624
"X200550980034_R07C01","40.3","20.2790704834231",-20.0209295165769
"X200550980035_R01C01","47.48","24.0930613807315",-23.3869386192685
"X200550980035_R02C01","62.4","47.2872078282069",-15.1127921717931
"X200550980035_R03C01","43.9","37.4338133381804",-6.4661866618196
"X200550980035_R04C01","50.12","37.7299669887762",-12.3900330112238
"X200550980035_R05C01","68.66","37.5652005883441",-31.0947994116559
"X200550980035_R06C01","49.62","34.9013445559036",-14.7186554440964
"X200550980035_R07C01","60.1","35.3869917493992",-24.7130082506008
"X200550980035_R08C01","51.6","25.6545682556295",-25.9454317443705
"X200590490002_R01C01","60.06","38.9809821320061",-21.0790178679939
"X200590490002_R02C01","69.74","58.0877844922465",-11.6522155077535
"X200590490002_R05C01","59.16","33.7035245027174",-25.4564754972826
"X200590490002_R06C01","43.4","25.5403821632395",-17.8596178367605
"X200590490002_R07C01","72.12","37.9809478113241",-34.1390521886759
"X200590490002_R08C01","53.32","29.8320790877928",-23.4879209122072
"X200590490017_R01C01","55.92","37.870169644436",-18.049830355564
"X200590490017_R02C01","73.76","21.3905508103563",-52.3694491896437
"X200590490017_R03C01","42.14","28.2159450799379",-13.9240549200621
"X200590490017_R04C01","52.2","33.7441541739109",-18.4558458260891
