"Sample","Ground_Truth","Predicted","Difference"
"X100120","103","58.5631018294465",-44.4368981705535
"X100165","35","57.94326950733",22.94326950733
"X101417","75","67.5780588642801",-7.4219411357199
"X101573","59","58.3597335500216",-0.640266449978398
"X103811","82","58.532696202242",-23.467303797758
"X104111","87","58.4590589653719",-28.5409410346281
"X104425","76","57.9343409300599",-18.0656590699401
"X105191","77","59.4081617338172",-17.5918382661828
"X105280","74","58.0757304886348",-15.9242695113652
"X105437","42","58.1003865864479",16.1003865864479
"X10556","65","57.4612412097435",-7.5387587902565
"X10585","48","57.8806861990077",9.8806861990077
"X106636","87","58.0366806633813",-28.9633193366187
"X107471","85","58.8328707549023",-26.1671292450977
"X107894","65","57.5990864654627",-7.4009135345373
"X108670","96","58.9081778039748",-37.0918221960252
"X108787","68","58.2842839480107",-9.7157160519893
"X110638","85","57.9728430073053",-27.0271569926947
"X110937","76","58.6413759338724",-17.3586240661276
"X112139","74","57.9957431571407",-16.0042568428593
"X112451","63","59.6701608776649",-3.3298391223351
"X112648","63","57.9473539209055",-5.0526460790945
"X113790","54","59.2764444305509",5.2764444305509
"X114269","72","58.1561170159965",-13.8438829840035
"X114463","73","57.9402612345088",-15.0597387654912
"X114517","70","57.5695880468818",-12.4304119531182
"X115607","84","58.1579077882945",-25.8420922117055
"X117477","72","58.8717581441883",-13.1282418558117
"X117711","31","57.63200848945",26.63200848945
"X119624","35","57.9806108108207",22.9806108108207
"X119765","75","58.0907908841386",-16.9092091158614
"X119833","70","58.8874257190304",-11.1125742809696
"X123774","72","58.1627880540574",-13.8372119459426
"X12498","50","57.8287841074223",7.8287841074223
"X12515","79","57.8155229266848",-21.1844770733152
"X126024","96","57.4377492731605",-38.5622507268395
"X126254","78","58.5532835322262",-19.4467164677738
"X126536","76","58.2176090073828",-17.7823909926172
"X127107","90","58.0612324017012",-31.9387675982988
"X127256","66","58.1726072201748",-7.8273927798252
"X128677","87","62.5809943071095",-24.4190056928905
"X130623","68","58.8873875545801",-9.1126124454199
"X132134","76","58.7924379231311",-17.2075620768689
"X132772","61","58.550334114808",-2.449665885192
"X133308","62","58.5232190716272",-3.4767809283728
