Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
brnn,0.8833813813,5.794608077,7.482389529,2973,1,full_before_split,split_separate
brnn,0.8824637065,5.764426344,7.216988924,2245,1,full_before_split,split_separate
brnn,0.8823625409,5.68327894,7.248208523,3473,1,full_before_split,split_separate
brnn,0.8818087519,5.318410446,7.125767582,2031,1,full_before_split,split_separate
brnn,0.879072023,5.996083935,7.422382651,3502,1,full_before_split,split_separate
brnn,0.8780422659,5.799733462,7.726808113,3563,1,full_before_split,split_separate
brnn,0.8779109802,5.760706723,7.37638966,3976,1,full_before_split,split_separate
brnn,0.8778454859,5.786111578,7.621272835,1399,1,full_before_split,split_separate
brnn,0.876034155,5.867094172,7.601855791,1322,1,full_before_split,split_separate
brnn,0.8754987251,5.585945406,7.421698579,2842,1,full_before_split,split_separate
brnn,0.8753815129,5.765077507,7.402769012,3412,1,full_before_split,split_separate
brnn,0.875272415,6.148561717,7.587577913,3235,1,full_before_split,split_separate
brnn,0.8747378142,5.487200318,7.228551574,2055,1,full_before_split,split_separate
brnn,0.8744588387,5.963624459,7.443996454,172,1,full_before_split,split_separate
brnn,0.8728691801,6.188615993,7.665303316,453,1,full_before_split,split_separate
brnn,0.8721488557,6.16840756,7.743807205,1326,1,full_before_split,split_separate
brnn,0.8717427361,5.885870697,7.590765175,461,1,full_before_split,split_separate
brnn,0.8715244137,5.792676732,7.288909005,1693,1,full_before_split,split_separate
brnn,0.870876524,6.07970971,7.618319672,240,1,full_before_split,split_separate
brnn,0.8701980727,6.092657173,7.832355838,1807,1,full_before_split,split_separate
brnn,0.8698912258,5.865404142,7.541893367,1744,1,full_before_split,split_separate
brnn,0.8696715114,6.361988872,7.878106143,1931,1,full_before_split,split_separate
brnn,0.8696200264,5.808260409,7.65457956,805,1,full_before_split,split_separate
brnn,0.8692794597,6.209744608,7.746685097,1122,1,full_before_split,split_separate
brnn,0.8691252052,6.146737308,7.673738784,1864,1,full_before_split,split_separate
brnn,0.8689357393,6.040437402,7.910397057,223,1,full_before_split,split_separate
brnn,0.8688631986,6.219511252,7.732953439,3829,1,full_before_split,split_separate
brnn,0.8688017968,6.171139563,7.574743451,3645,1,full_before_split,split_separate
brnn,0.868617512,5.597910454,7.323658036,25,1,full_before_split,split_separate
brnn,0.8684598417,6.054146484,7.589903225,1015,1,full_before_split,split_separate
brnn,0.8683249025,6.074541113,7.661368136,1668,1,full_before_split,split_separate
brnn,0.8682543943,5.765576332,7.533832206,2094,1,full_before_split,split_separate
brnn,0.8679878041,5.958817437,7.766039202,820,1,full_before_split,split_separate
brnn,0.8678052928,6.272129041,7.904877238,2153,1,full_before_split,split_separate
brnn,0.8675851014,6.057335771,7.746251605,3700,1,full_before_split,split_separate
brnn,0.8673999244,5.955219994,7.659717506,3973,1,full_before_split,split_separate
brnn,0.8668666765,6.118914791,7.793672373,2283,1,full_before_split,split_separate
brnn,0.865685493,6.106492944,7.702205321,3735,1,full_before_split,split_separate
brnn,0.8656390203,6.156641389,7.774954275,2357,1,full_before_split,split_separate
brnn,0.8656005425,6.266052898,7.987894484,3074,1,full_before_split,split_separate
brnn,0.8654719819,5.734991844,7.546303626,2593,1,full_before_split,split_separate
brnn,0.8653606647,5.990686674,7.739869674,420,1,full_before_split,split_separate
brnn,0.8650894336,6.464160069,7.995216639,1111,1,full_before_split,split_separate
brnn,0.8650704613,6.062239508,7.601300299,3437,1,full_before_split,split_separate
brnn,0.8649953736,5.990553128,7.885827248,719,1,full_before_split,split_separate
brnn,0.8649369307,6.330843594,7.829194547,1941,1,full_before_split,split_separate
brnn,0.8649284742,5.873114256,7.700161687,3934,1,full_before_split,split_separate
brnn,0.8648274712,5.974102365,7.57550618,2699,1,full_before_split,split_separate
brnn,0.8647696305,6.209728416,7.550377904,1319,1,full_before_split,split_separate
brnn,0.8646758175,6.138783211,7.842453291,1024,1,full_before_split,split_separate
brnn,0.8641702785,6.387048816,8.005954178,3551,1,full_before_split,split_separate
brnn,0.864088664,6.202302752,8.026582375,890,1,full_before_split,split_separate
brnn,0.8640864451,6.299721613,8.062383893,1592,1,full_before_split,split_separate
brnn,0.8639955992,6.300179941,7.893370745,1773,1,full_before_split,split_separate
brnn,0.8639294999,6.062986058,7.95274542,1049,1,full_before_split,split_separate
brnn,0.8639153617,5.891163485,7.80467418,630,1,full_before_split,split_separate
brnn,0.8635527412,5.965834908,7.840234985,1036,1,full_before_split,split_separate
brnn,0.8633331135,6.177921195,7.693225369,804,1,full_before_split,split_separate
brnn,0.8630802628,5.891462777,7.769486326,3336,1,full_before_split,split_separate
brnn,0.8629859565,6.074435889,7.637258364,3435,1,full_before_split,split_separate
brnn,0.862906189,6.152408498,7.866447204,2297,1,full_before_split,split_separate
brnn,0.8628184708,6.189473233,7.938864717,1372,1,full_before_split,split_separate
brnn,0.8626529652,6.332280564,8.076241548,2019,1,full_before_split,split_separate
brnn,0.8626464154,5.856800896,7.693350256,791,1,full_before_split,split_separate
brnn,0.8624933794,6.129627674,8.006876133,3516,1,full_before_split,split_separate
brnn,0.8624534523,6.042906788,7.83470507,2500,1,full_before_split,split_separate
brnn,0.8624232195,5.774769347,7.785464739,2158,1,full_before_split,split_separate
brnn,0.8623419082,6.384332202,7.829129549,2578,1,full_before_split,split_separate
brnn,0.8620749072,6.108233538,7.72796722,41,1,full_before_split,split_separate
brnn,0.8619808275,6.615997805,8.233389225,1034,1,full_before_split,split_separate
brnn,0.8618881539,5.955339335,7.655085763,31,1,full_before_split,split_separate
brnn,0.8614837365,6.13569138,7.900989365,1851,1,full_before_split,split_separate
brnn,0.8614521912,6.286539079,7.835057157,3698,1,full_before_split,split_separate
brnn,0.861435282,6.179990542,7.963147201,2939,1,full_before_split,split_separate
brnn,0.8613280675,6.500129654,8.104094572,174,1,full_before_split,split_separate
brnn,0.8611755738,6.274977152,7.773815405,1755,1,full_before_split,split_separate
brnn,0.8610737642,5.99096738,7.805713053,3907,1,full_before_split,split_separate
brnn,0.861046065,5.989354549,7.815529777,14,1,full_before_split,split_separate
brnn,0.8609693156,6.133754428,7.894339042,735,1,full_before_split,split_separate
brnn,0.8609487213,6.038221412,7.818997423,103,1,full_before_split,split_separate
brnn,0.8608304867,6.46882806,7.965058859,1564,1,full_before_split,split_separate
brnn,0.8607864136,6.267888692,8.025962228,737,1,full_before_split,split_separate
brnn,0.860669109,6.03523998,7.798641674,3964,1,full_before_split,split_separate
brnn,0.8604821245,6.30166838,7.975245757,3500,1,full_before_split,split_separate
brnn,0.8604479106,6.101656335,7.868845986,2687,1,full_before_split,split_separate
brnn,0.8603844191,5.956955647,7.804959244,962,1,full_before_split,split_separate
brnn,0.860353055,6.425670479,7.931785529,2896,1,full_before_split,split_separate
brnn,0.8602846944,6.206566277,8.18130393,2835,1,full_before_split,split_separate
brnn,0.860124706,6.390007206,7.985878797,1491,1,full_before_split,split_separate
brnn,0.8600911812,6.145567479,7.8307956,2912,1,full_before_split,split_separate
brnn,0.8600846522,6.00217052,8.01028515,1615,1,full_before_split,split_separate
brnn,0.8600774505,6.34346174,8.408222642,3477,1,full_before_split,split_separate
brnn,0.8599834709,6.353142146,7.999640386,1989,1,full_before_split,split_separate
brnn,0.859935747,5.929602009,7.541807564,3724,1,full_before_split,split_separate
brnn,0.8597730474,6.158726423,7.996865924,3989,1,full_before_split,split_separate
brnn,0.8597436612,6.532775028,8.098603543,2011,1,full_before_split,split_separate
brnn,0.8596542399,6.546405722,8.099888575,2116,1,full_before_split,split_separate
brnn,0.8595237757,6.255099366,7.902930643,1970,1,full_before_split,split_separate
brnn,0.8594123428,6.23298337,7.841512369,2394,1,full_before_split,split_separate
brnn,0.8593758298,5.973759404,7.803602608,2855,1,full_before_split,split_separate
brnn,0.8593200448,6.394796987,8.105342333,2660,1,full_before_split,split_separate
brnn,0.8592563248,6.077927018,7.913575694,2289,1,full_before_split,split_separate
brnn,0.858879421,6.341297458,7.98923354,3411,1,full_before_split,split_separate
brnn,0.8587258168,6.241380029,7.937184429,2745,1,full_before_split,split_separate
brnn,0.8586713458,5.983464654,7.943930948,3234,1,full_before_split,split_separate
brnn,0.8585926764,6.457337552,8.068656397,2494,1,full_before_split,split_separate
brnn,0.858463667,6.326446898,7.85255471,177,1,full_before_split,split_separate
brnn,0.8584505379,6.232300445,7.953424919,3557,1,full_before_split,split_separate
brnn,0.8584138359,6.473518774,8.133586307,395,1,full_before_split,split_separate
brnn,0.8583807895,6.129752374,7.848075485,371,1,full_before_split,split_separate
brnn,0.8583467436,5.788663978,7.621468094,597,1,full_before_split,split_separate
brnn,0.8583291031,6.061293507,7.911607827,3902,1,full_before_split,split_separate
brnn,0.8581899608,6.486373161,8.076828355,3408,1,full_before_split,split_separate
brnn,0.8580177931,6.236993263,8.013848454,823,1,full_before_split,split_separate
brnn,0.8580146857,6.307227199,8.123467307,2544,1,full_before_split,split_separate
brnn,0.857901398,6.079021248,7.869338139,1957,1,full_before_split,split_separate
brnn,0.8578914578,6.235592889,7.828165598,3712,1,full_before_split,split_separate
brnn,0.8577400293,6.171584234,7.962231635,3137,1,full_before_split,split_separate
brnn,0.8577267314,6.322355126,8.180489426,1766,1,full_before_split,split_separate
brnn,0.8576802762,6.353195313,7.860168983,446,1,full_before_split,split_separate
brnn,0.8574460044,6.188724093,7.922182359,3834,1,full_before_split,split_separate
brnn,0.8572912036,6.058331624,7.922394174,2720,1,full_before_split,split_separate
brnn,0.8572575605,6.076841849,7.793111564,2346,1,full_before_split,split_separate
brnn,0.8572256388,6.525860679,8.249383401,2350,1,full_before_split,split_separate
brnn,0.8571814064,6.253987745,7.717634223,3425,1,full_before_split,split_separate
brnn,0.8569663102,6.17252685,8.146874617,1144,1,full_before_split,split_separate
brnn,0.8568139259,6.140775754,7.922705951,3390,1,full_before_split,split_separate
brnn,0.8567972335,6.446587854,8.045492838,3573,1,full_before_split,split_separate
brnn,0.8567303953,6.168780487,8.078294576,2959,1,full_before_split,split_separate
brnn,0.8566784761,6.316156,8.126624027,2802,1,full_before_split,split_separate
brnn,0.8566468146,5.93603353,7.690802499,541,1,full_before_split,split_separate
brnn,0.8566027009,6.200225398,7.762681744,2936,1,full_before_split,split_separate
brnn,0.8565747665,6.459495392,7.942268136,789,1,full_before_split,split_separate
brnn,0.8565237154,5.962955924,7.910890565,410,1,full_before_split,split_separate
brnn,0.8564734672,6.237759794,7.774208535,1894,1,full_before_split,split_separate
brnn,0.856324334,5.973362546,7.80370753,3131,1,full_before_split,split_separate
brnn,0.8562893643,6.528859681,8.123451791,2156,1,full_before_split,split_separate
brnn,0.8562824933,6.399044184,8.122222862,3721,1,full_before_split,split_separate
brnn,0.8562473682,6.24270771,7.982564683,2382,1,full_before_split,split_separate
brnn,0.8561198789,6.012029524,7.919723325,734,1,full_before_split,split_separate
brnn,0.855973131,6.281500752,8.054362795,181,1,full_before_split,split_separate
brnn,0.8559059205,6.315056331,8.01759596,1348,1,full_before_split,split_separate
brnn,0.8558997736,6.134199633,8.121749213,996,1,full_before_split,split_separate
brnn,0.8558674656,5.965864313,7.739589039,1197,1,full_before_split,split_separate
brnn,0.8558285017,6.359971605,8.03139606,1361,1,full_before_split,split_separate
brnn,0.8557317344,6.548268728,8.189729529,876,1,full_before_split,split_separate
brnn,0.8557190988,6.079662381,8.077576877,637,1,full_before_split,split_separate
brnn,0.8557152082,6.763849229,8.325520163,1249,1,full_before_split,split_separate
brnn,0.8557101922,6.357591486,8.080126737,3556,1,full_before_split,split_separate
brnn,0.8556859199,6.187192152,7.957227876,1543,1,full_before_split,split_separate
brnn,0.8556859057,5.813532569,7.735741839,1263,1,full_before_split,split_separate
brnn,0.8556338881,6.181749345,7.831524668,1304,1,full_before_split,split_separate
brnn,0.8554821446,6.36755403,8.125041887,1689,1,full_before_split,split_separate
brnn,0.8554794745,6.515391489,8.062073066,2130,1,full_before_split,split_separate
brnn,0.8553642036,6.285337235,8.195843158,1657,1,full_before_split,split_separate
brnn,0.8553617014,6.552493658,8.260150566,2374,1,full_before_split,split_separate
brnn,0.8551859261,6.502121517,8.278041315,1255,1,full_before_split,split_separate
brnn,0.8551843037,6.476520064,8.306570037,2904,1,full_before_split,split_separate
brnn,0.8551642066,6.219419463,7.784545095,372,1,full_before_split,split_separate
brnn,0.8551117623,6.505820158,8.206605874,1053,1,full_before_split,split_separate
brnn,0.8551039773,6.065597744,8.021898949,106,1,full_before_split,split_separate
brnn,0.8550911868,6.591539593,8.227519584,3548,1,full_before_split,split_separate
brnn,0.8550817631,6.303342736,8.030522811,651,1,full_before_split,split_separate
brnn,0.8549405193,6.368538446,8.034144186,1070,1,full_before_split,split_separate
brnn,0.8548887253,6.424265831,8.065622054,292,1,full_before_split,split_separate
brnn,0.8548030598,6.118481312,7.752469631,2742,1,full_before_split,split_separate
brnn,0.8546905065,6.491692206,8.122779995,217,1,full_before_split,split_separate
brnn,0.8546591989,6.376782155,8.093313997,454,1,full_before_split,split_separate
brnn,0.8546207625,6.200313803,8.098359007,3697,1,full_before_split,split_separate
brnn,0.8545988756,6.396486667,8.088465463,1178,1,full_before_split,split_separate
brnn,0.8545832284,6.212301606,8.159301154,3180,1,full_before_split,split_separate
brnn,0.8545379872,6.16896244,7.741193179,500,1,full_before_split,split_separate
brnn,0.8544649282,6.170979964,7.990930322,3690,1,full_before_split,split_separate
brnn,0.8544533461,5.991249068,8.106008229,1939,1,full_before_split,split_separate
brnn,0.8543951512,6.468767776,8.061567057,3330,1,full_before_split,split_separate
brnn,0.8543607603,6.23676147,8.272922496,3718,1,full_before_split,split_separate
brnn,0.8542923367,6.383062519,8.160619192,3756,1,full_before_split,split_separate
brnn,0.8542886372,6.638002046,8.148591838,3916,1,full_before_split,split_separate
brnn,0.8542178708,6.355718246,8.064903171,1819,1,full_before_split,split_separate
brnn,0.854214733,6.479395187,8.259400228,2709,1,full_before_split,split_separate
brnn,0.8541536742,6.235393444,8.213738202,3146,1,full_before_split,split_separate
brnn,0.8540394789,5.955383879,7.880017341,2331,1,full_before_split,split_separate
brnn,0.8540044013,6.21783797,8.006608754,821,1,full_before_split,split_separate
brnn,0.8539073882,6.346384993,8.098974661,2198,1,full_before_split,split_separate
brnn,0.8539066506,6.746715986,8.183322168,2616,1,full_before_split,split_separate
brnn,0.853792668,6.28324937,8.158670166,654,1,full_before_split,split_separate
brnn,0.8536452739,6.26558068,8.113965616,825,1,full_before_split,split_separate
brnn,0.853614893,6.348850503,7.940324133,1951,1,full_before_split,split_separate
brnn,0.8535056529,6.456522104,8.241029998,2369,1,full_before_split,split_separate
brnn,0.8535025841,6.314966867,7.835910202,2714,1,full_before_split,split_separate
brnn,0.8534273767,6.408676466,7.977606539,560,1,full_before_split,split_separate
brnn,0.8533803057,6.072051814,7.941578351,932,1,full_before_split,split_separate
brnn,0.8533582982,6.392153417,8.284994101,1079,1,full_before_split,split_separate
brnn,0.8532851706,6.322772197,7.928056735,2683,1,full_before_split,split_separate
brnn,0.8532829418,6.385423372,8.216936486,345,1,full_before_split,split_separate
brnn,0.853223365,6.515870841,8.220734263,3441,1,full_before_split,split_separate
brnn,0.8532124504,6.089258849,7.975617101,2411,1,full_before_split,split_separate
brnn,0.8532059674,6.113900401,8.065022629,1937,1,full_before_split,split_separate
brnn,0.8531559606,6.306916114,8.010669079,2623,1,full_before_split,split_separate
