Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8948117265,5.31279604,6.888571037,3598,1,full_before_split,split_separate
bagEarth,0.8924819989,5.58020388,7.285064241,1351,1,full_before_split,split_separate
bagEarth,0.8910558014,5.841596374,7.388604863,1661,1,full_before_split,split_separate
bagEarth,0.8869872519,5.636004199,7.094381105,2573,1,full_before_split,split_separate
bagEarth,0.8865982765,5.589362247,7.171326462,1300,1,full_before_split,split_separate
bagEarth,0.8848347222,5.723958734,7.200913917,3296,1,full_before_split,split_separate
bagEarth,0.8841830971,5.909306265,7.192386201,3919,1,full_before_split,split_separate
bagEarth,0.8834871951,5.623103714,7.171057581,1324,1,full_before_split,split_separate
bagEarth,0.8834413505,6.008861591,7.707086235,492,1,full_before_split,split_separate
bagEarth,0.8823853368,5.771541761,7.271201306,1645,1,full_before_split,split_separate
bagEarth,0.8815208159,5.881872511,7.176143134,449,1,full_before_split,split_separate
bagEarth,0.8808757408,5.463915081,7.291087179,315,1,full_before_split,split_separate
bagEarth,0.8808610783,5.838308299,7.537517155,3130,1,full_before_split,split_separate
bagEarth,0.88012016,5.790875939,7.306302924,3789,1,full_before_split,split_separate
bagEarth,0.8770880782,6.018108354,7.720220776,3823,1,full_before_split,split_separate
bagEarth,0.8770743806,5.626120078,7.353460417,2466,1,full_before_split,split_separate
bagEarth,0.876232095,5.844926551,7.506990343,3636,1,full_before_split,split_separate
bagEarth,0.8760420004,5.83779526,7.536693919,1913,1,full_before_split,split_separate
bagEarth,0.8758610598,6.029370418,7.81222634,702,1,full_before_split,split_separate
bagEarth,0.8751865992,6.072978535,7.561646052,1977,1,full_before_split,split_separate
bagEarth,0.8749642494,6.069888078,7.658980591,3697,1,full_before_split,split_separate
bagEarth,0.8749199842,6.051231709,7.486250219,3774,1,full_before_split,split_separate
bagEarth,0.8745609401,6.101046963,7.624755629,3989,1,full_before_split,split_separate
bagEarth,0.874311261,5.855661589,7.543607047,2070,1,full_before_split,split_separate
bagEarth,0.8741325035,5.875467838,7.466495851,3615,1,full_before_split,split_separate
bagEarth,0.8740668533,6.098014627,7.33168939,1500,1,full_before_split,split_separate
bagEarth,0.8740280124,6.093920084,7.416841661,3034,1,full_before_split,split_separate
bagEarth,0.8738847842,5.64250378,7.419704814,3210,1,full_before_split,split_separate
bagEarth,0.8735974157,6.512763748,8.03221073,3768,1,full_before_split,split_separate
bagEarth,0.8734648697,6.166499489,7.96819057,3829,1,full_before_split,split_separate
bagEarth,0.8729216388,5.993037436,7.531530409,1444,1,full_before_split,split_separate
bagEarth,0.872843951,6.058998352,7.673541157,3166,1,full_before_split,split_separate
bagEarth,0.8726043777,6.161242348,7.816964655,2356,1,full_before_split,split_separate
