Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
3951,3,cubist,0.870227902,5.231460991,,,,,,,,0.01318974932,0.9231919283,0.9237179915
2181,3,cubist,0.8879810098,5.051685577,,,,,,,,,,
2460,3,cubist,0.8884962451,5.197201573,,,,,,,,,,
1402,3,cubist,0.8888963253,5.064019399,,,,,,,,,,
3496,3,cubist,0.8889170364,5.105614858,,,,,,,,,,
2963,3,cubist,0.8899526722,5.346883551,,,,,,,,,,
3271,3,cubist,0.8903625884,4.97356688,,,,,,,,,,
788,3,cubist,0.8908189193,5.09034261,,,,,,,,,,
1306,3,cubist,0.8925000815,5.229523185,,,,,,,,,,
2808,3,cubist,0.8930954852,5.434171068,,,,,,,,,,
2652,3,cubist,0.893202394,5.275337037,,,,,,,,,,
3435,3,cubist,0.8934093078,5.119943318,,,,,,,,,,
2253,3,cubist,0.893704604,5.027056051,,,,,,,,,,
1981,3,cubist,0.8942016117,5.293525804,,,,,,,,,,
74,3,cubist,0.8943718236,5.239757673,,,,,,,,,,
482,3,cubist,0.8950020084,5.340614799,,,,,,,,,,
1441,3,cubist,0.8951228153,5.292635945,,,,,,,,,,
2855,3,cubist,0.8953520516,4.978244667,,,,,,,,,,
1475,3,cubist,0.8956615992,4.913023617,,,,,,,,,,
884,3,cubist,0.895913433,5.137357509,,,,,,,,,,
3740,3,cubist,0.8962753802,4.946389936,,,,,,,,,,
1245,3,cubist,0.8972298207,5.098876169,,,,,,,,,,
1326,3,cubist,0.89725876,5.169632993,,,,,,,,,,
1793,3,cubist,0.8975881192,4.95730348,,,,,,,,,,
610,3,cubist,0.8976565662,5.247902268,,,,,,,,,,
1742,3,cubist,0.8977036804,4.860028585,,,,,,,,,,
1198,3,cubist,0.8977226913,4.956228669,,,,,,,,,,
921,3,cubist,0.8977974434,5.004272197,,,,,,,,,,
565,3,cubist,0.8978628955,5.074865713,,,,,,,,,,
1569,3,cubist,0.8979582248,4.993285903,,,,,,,,,,
1536,3,cubist,0.8980064556,5.015239553,,,,,,,,,,
291,3,cubist,0.8981578188,4.909255447,,,,,,,,,,
3901,3,cubist,0.8981823449,5.162302538,,,,,,,,,,
336,3,cubist,0.8982258762,5.08616576,,,,,,,,,,
1598,3,cubist,0.8983443622,5.229224996,,,,,,,,,,
506,3,cubist,0.8986763045,5.128892445,,,,,,,,,,
1440,3,cubist,0.8987835421,5.250100068,,,,,,,,,,
3713,3,cubist,0.8988219092,5.348770054,,,,,,,,,,
1256,3,cubist,0.8990180055,5.129132738,,,,,,,,,,
1391,3,cubist,0.8990200813,4.962568858,,,,,,,,,,
2400,3,cubist,0.8991686562,5.115692558,,,,,,,,,,
2061,3,cubist,0.899223676,4.992550343,,,,,,,,,,
1860,3,cubist,0.8993489862,4.921424095,,,,,,,,,,
2258,3,cubist,0.8993890028,5.011903242,,,,,,,,,,
846,3,cubist,0.8994443057,5.023099636,,,,,,,,,,
3115,3,cubist,0.8996487256,5.159721909,,,,,,,,,,
136,3,cubist,0.8997677919,4.853104848,,,,,,,,,,
3492,3,cubist,0.8998466847,4.976515648,,,,,,,,,,
3063,3,cubist,0.8999584604,5.078913181,,,,,,,,,,
1466,3,cubist,0.900040511,4.891078016,,,,,,,,,,
995,3,cubist,0.900073441,4.976712585,,,,,,,,,,
1314,3,cubist,0.9001080701,4.88120869,,,,,,,,,,
620,3,cubist,0.9002699934,4.914709071,,,,,,,,,,
2414,3,cubist,0.9002863149,4.911160097,,,,,,,,,,
70,3,cubist,0.9003562653,5.129845646,,,,,,,,,,
256,3,cubist,0.9004412569,4.96813116,,,,,,,,,,
2812,3,cubist,0.9005716048,5.031222993,,,,,,,,,,
1902,3,cubist,0.900596315,5.158294732,,,,,,,,,,
2643,3,cubist,0.900643068,4.924552701,,,,,,,,,,
2302,3,cubist,0.9006479166,5.012303684,,,,,,,,,,
2325,3,cubist,0.9006664521,5.002736633,,,,,,,,,,
46,3,cubist,0.9006904576,4.823011513,,,,,,,,,,
1350,3,cubist,0.9007851729,4.854026625,,,,,,,,,,
3852,3,cubist,0.9007882926,4.941429794,,,,,,,,,,
2087,3,cubist,0.9007913022,4.977684129,,,,,,,,,,
2163,3,cubist,0.9008418863,5.098615011,,,,,,,,,,
2555,3,cubist,0.9011539644,5.269779111,,,,,,,,,,
606,3,cubist,0.9013257392,4.880836176,,,,,,,,,,
1629,3,cubist,0.9013622833,5.069499577,,,,,,,,,,
1240,3,cubist,0.9014169323,5.018434741,,,,,,,,,,
2421,3,cubist,0.901417835,4.892073219,,,,,,,,,,
3832,3,cubist,0.9014291169,5.09379815,,,,,,,,,,
1684,3,cubist,0.9015170462,4.751957075,,,,,,,,,,
3238,3,cubist,0.9016351668,5.024899787,,,,,,,,,,
202,3,cubist,0.901708156,5.161938985,,,,,,,,,,
2219,3,cubist,0.9017445595,5.059162248,,,,,,,,,,
3568,3,cubist,0.901819436,4.758370129,,,,,,,,,,
989,3,cubist,0.9019496804,4.96807906,,,,,,,,,,
3580,3,cubist,0.902047572,5.090811114,,,,,,,,,,
2857,3,cubist,0.9021360895,5.044806961,,,,,,,,,,
3477,3,cubist,0.9022037193,5.2194581,,,,,,,,,,
1362,3,cubist,0.9022137158,5.082047936,,,,,,,,,,
3597,3,cubist,0.9022389932,5.002220749,,,,,,,,,,
3148,3,cubist,0.9023317386,4.9578154,,,,,,,,,,
2328,3,cubist,0.9024247542,4.905116825,,,,,,,,,,
2380,3,cubist,0.902488617,5.068052028,,,,,,,,,,
542,3,cubist,0.9025728161,4.896437814,,,,,,,,,,
383,3,cubist,0.9026313911,4.997701185,,,,,,,,,,
2451,3,cubist,0.9028456836,4.96790963,,,,,,,,,,
3349,3,cubist,0.9028610075,5.012300031,,,,,,,,,,
3095,3,cubist,0.9028767174,4.845001836,,,,,,,,,,
3072,3,cubist,0.9028881064,5.033929507,,,,,,,,,,
3376,3,cubist,0.9029208906,5.202616401,,,,,,,,,,
567,3,cubist,0.9029543422,5.057881883,,,,,,,,,,
463,3,cubist,0.9029770672,5.114105428,,,,,,,,,,
366,3,cubist,0.9030661037,4.86366621,,,,,,,,,,
1030,3,cubist,0.9031170353,5.17373528,,,,,,,,,,
591,3,cubist,0.9031188442,4.90942048,,,,,,,,,,
1473,3,cubist,0.9031541847,5.012786865,,,,,,,,,,
3578,3,cubist,0.9031997948,4.696669017,,,,,,,,,,
1691,3,cubist,0.9032718701,5.068882225,,,,,,,,,,
3945,3,cubist,0.9033088925,4.950148231,,,,,,,,,,
1291,3,cubist,0.9033492703,4.995732619,,,,,,,,,,
1476,3,cubist,0.9034174888,4.949603216,,,,,,,,,,
3037,3,cubist,0.9034738475,5.221857984,,,,,,,,,,
235,3,cubist,0.9035639927,4.91882494,,,,,,,,,,
2372,3,cubist,0.9036147162,5.11747858,,,,,,,,,,
1685,3,cubist,0.9036166586,4.961201959,,,,,,,,,,
962,3,cubist,0.903628259,5.165606749,,,,,,,,,,
2119,3,cubist,0.9036348142,4.914935328,,,,,,,,,,
1782,3,cubist,0.9036742652,4.884578265,,,,,,,,,,
847,3,cubist,0.9038147357,5.226516149,,,,,,,,,,
2794,3,cubist,0.9038434819,4.800004925,,,,,,,,,,
421,3,cubist,0.9038699608,4.864439917,,,,,,,,,,
2492,3,cubist,0.903905499,4.97155247,,,,,,,,,,
969,3,cubist,0.9039104737,5.091422899,,,,,,,,,,
3176,3,cubist,0.9040998185,4.778495958,,,,,,,,,,
1002,3,cubist,0.9041387131,5.174407621,,,,,,,,,,
3952,3,cubist,0.9041819457,4.635039079,,,,,,,,,,
886,3,cubist,0.9043146521,4.81392761,,,,,,,,,,
2563,3,cubist,0.9043554486,4.838672611,,,,,,,,,,
1300,3,cubist,0.9043838762,4.769865665,,,,,,,,,,
1507,3,cubist,0.904510458,5.228143482,,,,,,,,,,
3142,3,cubist,0.9046247105,5.156283277,,,,,,,,,,
2786,3,cubist,0.9046931601,4.974288041,,,,,,,,,,
3966,3,cubist,0.9046950262,4.935535681,,,,,,,,,,
3554,3,cubist,0.9047964677,5.089948654,,,,,,,,,,
3101,3,cubist,0.9048089993,4.798110874,,,,,,,,,,
510,3,cubist,0.9048126983,4.755978726,,,,,,,,,,
1001,3,cubist,0.9048176916,4.830755247,,,,,,,,,,
2938,3,cubist,0.9048278195,5.123832304,,,,,,,,,,
594,3,cubist,0.9049149941,4.930081225,,,,,,,,,,
979,3,cubist,0.904962491,5.094576382,,,,,,,,,,
1935,3,cubist,0.9049875306,4.789634678,,,,,,,,,,
27,3,cubist,0.9050759433,4.997217462,,,,,,,,,,
56,3,cubist,0.905114824,4.930597312,,,,,,,,,,
2879,3,cubist,0.9051231227,4.861087515,,,,,,,,,,
3300,3,cubist,0.9051240356,4.816446568,,,,,,,,,,
870,3,cubist,0.9051657983,4.757215703,,,,,,,,,,
2060,3,cubist,0.90517255,4.70822619,,,,,,,,,,
276,3,cubist,0.9051955799,5.023271642,,,,,,,,,,
249,3,cubist,0.9052228019,4.601121382,,,,,,,,,,
2376,3,cubist,0.9052564935,5.168447373,,,,,,,,,,
2241,3,cubist,0.9052841053,4.663310741,,,,,,,,,,
3788,3,cubist,0.9052995893,4.800885471,,,,,,,,,,
3861,3,cubist,0.9053070521,5.067080511,,,,,,,,,,
258,3,cubist,0.9053300018,5.124852634,,,,,,,,,,
223,3,cubist,0.9053341835,5.145972421,,,,,,,,,,
3391,3,cubist,0.9053545742,4.715626067,,,,,,,,,,
1305,3,cubist,0.9054002539,4.638195687,,,,,,,,,,
1192,3,cubist,0.9054914477,5.113271991,,,,,,,,,,
95,3,cubist,0.9054947594,5.055313016,,,,,,,,,,
57,3,cubist,0.9054999452,4.834535639,,,,,,,,,,
2921,3,cubist,0.9055026757,4.74514383,,,,,,,,,,
2718,3,cubist,0.9055333637,4.960643302,,,,,,,,,,
1594,3,cubist,0.9055543282,5.0924956,,,,,,,,,,
550,3,cubist,0.9055712051,4.863097664,,,,,,,,,,
3890,3,cubist,0.9057196137,4.95090068,,,,,,,,,,
346,3,cubist,0.9057404619,4.975233092,,,,,,,,,,
3255,3,cubist,0.9057800145,4.706993455,,,,,,,,,,
2023,3,cubist,0.9057956315,4.885470729,,,,,,,,,,
1526,3,cubist,0.905844046,5.177957792,,,,,,,,,,
3539,3,cubist,0.9059108943,4.810863826,,,,,,,,,,
478,3,cubist,0.9059140475,4.894423918,,,,,,,,,,
1905,3,cubist,0.9059642626,4.890424728,,,,,,,,,,
3188,3,cubist,0.9059731387,4.870290946,,,,,,,,,,
2269,3,cubist,0.9059880634,5.018740498,,,,,,,,,,
50,3,cubist,0.906038617,4.983457396,,,,,,,,,,
1196,3,cubist,0.906061327,4.818941083,,,,,,,,,,
2171,3,cubist,0.9060686706,4.992642301,,,,,,,,,,
3999,3,cubist,0.9060718664,5.044420256,,,,,,,,,,
2887,3,cubist,0.9060865134,4.53819256,,,,,,,,,,
1515,3,cubist,0.9061294131,4.939054827,,,,,,,,,,
1040,3,cubist,0.906163178,4.954793937,,,,,,,,,,
2237,3,cubist,0.9061659771,5.080108954,,,,,,,,,,
912,3,cubist,0.9061760736,4.926872362,,,,,,,,,,
