Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
698,1,bagEarth,0.6225462002,10.69746559,,,,,,,,0.06584963868,0.471254075,0.4723802158
1450,1,bagEarth,0.6173497566,10.68900596,,,,,,,,,,
371,1,bagEarth,0.6172272475,10.59160245,,,,,,,,,,
200,1,bagEarth,0.6139363701,10.23687035,,,,,,,,,,
650,1,bagEarth,0.6120261607,10.34881135,,,,,,,,,,
1084,1,bagEarth,0.6108234976,10.81842169,,,,,,,,,,
295,1,bagEarth,0.6060965195,11.13663067,,,,,,,,,,
1396,1,bagEarth,0.6034195473,10.75610874,,,,,,,,,,
1251,1,bagEarth,0.6029675946,10.53218214,,,,,,,,,,
220,1,bagEarth,0.6024447808,11.08625673,,,,,,,,,,
1188,1,bagEarth,0.6017962144,10.85882331,,,,,,,,,,
1913,1,bagEarth,0.6012565132,11.27422229,,,,,,,,,,
2748,1,bagEarth,0.6002368189,11.14917883,,,,,,,,,,
1771,1,bagEarth,0.6001470264,10.31420277,,,,,,,,,,
299,1,bagEarth,0.6000287987,11.08110763,,,,,,,,,,
2471,1,bagEarth,0.5992815234,10.86481377,,,,,,,,,,
694,1,bagEarth,0.5960515368,10.57798506,,,,,,,,,,
2494,1,bagEarth,0.5937840396,10.74462603,,,,,,,,,,
2135,1,bagEarth,0.5936366786,11.21015863,,,,,,,,,,
828,1,bagEarth,0.5921231324,11.25101086,,,,,,,,,,
3170,1,bagEarth,0.5907553528,10.61991018,,,,,,,,,,
3650,1,bagEarth,0.5898136636,10.92907498,,,,,,,,,,
3787,1,bagEarth,0.5896848157,11.82205358,,,,,,,,,,
1673,1,bagEarth,0.5893990999,11.15215578,,,,,,,,,,
1923,1,bagEarth,0.5892606501,10.81849185,,,,,,,,,,
3535,1,bagEarth,0.5892473595,11.17975428,,,,,,,,,,
2054,1,bagEarth,0.5891443562,11.00004186,,,,,,,,,,
1482,1,bagEarth,0.5881422799,11.12156363,,,,,,,,,,
2682,1,bagEarth,0.5875277707,10.92758308,,,,,,,,,,
3119,1,bagEarth,0.5865178287,11.06954619,,,,,,,,,,
2377,1,bagEarth,0.5857099309,11.17416745,,,,,,,,,,
4000,1,bagEarth,0.5854908404,10.88277579,,,,,,,,,,
3661,1,bagEarth,0.5851596963,10.38445751,,,,,,,,,,
774,1,bagEarth,0.5851175751,11.17799115,,,,,,,,,,
1512,1,bagEarth,0.5846287426,11.52392779,,,,,,,,,,
1291,1,bagEarth,0.5835867905,11.41759986,,,,,,,,,,
321,1,bagEarth,0.5832460521,11.34870879,,,,,,,,,,
3419,1,bagEarth,0.5831548069,11.33014653,,,,,,,,,,
953,1,bagEarth,0.5830608862,10.91825553,,,,,,,,,,
1984,1,bagEarth,0.5828615904,11.6282031,,,,,,,,,,
1372,1,bagEarth,0.5827342883,10.74908293,,,,,,,,,,
3129,1,bagEarth,0.5825047103,10.72158613,,,,,,,,,,
47,1,bagEarth,0.5822713661,10.66666891,,,,,,,,,,
2180,1,bagEarth,0.5819972782,10.99023653,,,,,,,,,,
3467,1,bagEarth,0.5815100916,10.64577909,,,,,,,,,,
2534,1,bagEarth,0.5814862665,10.80636816,,,,,,,,,,
865,1,bagEarth,0.5812987695,10.89098974,,,,,,,,,,
3642,1,bagEarth,0.5804631548,11.37508806,,,,,,,,,,
1465,1,bagEarth,0.579947553,11.26242303,,,,,,,,,,
585,1,bagEarth,0.579826291,11.23708541,,,,,,,,,,
3280,1,bagEarth,0.5791437697,11.16581587,,,,,,,,,,
2237,1,bagEarth,0.5791037996,11.176835,,,,,,,,,,
3196,1,bagEarth,0.5785988982,10.98052958,,,,,,,,,,
1866,1,bagEarth,0.5780153996,11.8011035,,,,,,,,,,
1409,1,bagEarth,0.57788591,11.12814183,,,,,,,,,,
1836,1,bagEarth,0.5775749383,10.98954359,,,,,,,,,,
2730,1,bagEarth,0.577536412,11.31774869,,,,,,,,,,
479,1,bagEarth,0.5772917933,11.09012916,,,,,,,,,,
1235,1,bagEarth,0.5772476697,11.78997854,,,,,,,,,,
1294,1,bagEarth,0.5771262324,10.94809861,,,,,,,,,,
767,1,bagEarth,0.5770879243,11.39692969,,,,,,,,,,
3014,1,bagEarth,0.576749027,11.04492392,,,,,,,,,,
3162,1,bagEarth,0.5767383235,10.78553033,,,,,,,,,,
563,1,bagEarth,0.5766859744,10.58558911,,,,,,,,,,
1266,1,bagEarth,0.5759681055,11.45164883,,,,,,,,,,
3203,1,bagEarth,0.5757484254,10.89566241,,,,,,,,,,
789,1,bagEarth,0.5750659277,10.92617997,,,,,,,,,,
1520,1,bagEarth,0.5750126551,11.12665016,,,,,,,,,,
2761,1,bagEarth,0.574680077,11.00716114,,,,,,,,,,
465,1,bagEarth,0.5746642546,10.68836443,,,,,,,,,,
1347,1,bagEarth,0.5739618209,11.11377216,,,,,,,,,,
1422,1,bagEarth,0.5739317464,11.18188116,,,,,,,,,,
3031,1,bagEarth,0.5730504624,11.09879626,,,,,,,,,,
1522,1,bagEarth,0.5729169398,10.85042404,,,,,,,,,,
2091,1,bagEarth,0.5728382037,10.91962909,,,,,,,,,,
2457,1,bagEarth,0.5725888836,11.17770766,,,,,,,,,,
2854,1,bagEarth,0.5725560735,11.21474847,,,,,,,,,,
1477,1,bagEarth,0.5721798603,10.76822142,,,,,,,,,,
665,1,bagEarth,0.5720033784,11.54172314,,,,,,,,,,
640,1,bagEarth,0.5713498583,11.54243113,,,,,,,,,,
3051,1,bagEarth,0.5713437532,11.47560457,,,,,,,,,,
2315,1,bagEarth,0.571071543,10.94740851,,,,,,,,,,
1644,1,bagEarth,0.570995276,10.67606609,,,,,,,,,,
2902,1,bagEarth,0.5708808506,11.4594077,,,,,,,,,,
1851,1,bagEarth,0.5707735466,12.00575,,,,,,,,,,
3424,1,bagEarth,0.5706293936,11.54580349,,,,,,,,,,
1559,1,bagEarth,0.5703595601,11.24612138,,,,,,,,,,
3030,1,bagEarth,0.5702959826,11.39390156,,,,,,,,,,
3687,1,bagEarth,0.5702686468,11.20173798,,,,,,,,,,
2570,1,bagEarth,0.5701733733,11.05426337,,,,,,,,,,
1122,1,bagEarth,0.5701003519,10.75554729,,,,,,,,,,
215,1,bagEarth,0.5699245686,10.87915977,,,,,,,,,,
2376,1,bagEarth,0.5695963286,11.45824484,,,,,,,,,,
3035,1,bagEarth,0.5692124335,11.07363932,,,,,,,,,,
1162,1,bagEarth,0.5691993504,11.25630348,,,,,,,,,,
1441,1,bagEarth,0.5691896279,11.00389011,,,,,,,,,,
3264,1,bagEarth,0.5688580319,10.99495612,,,,,,,,,,
2119,1,bagEarth,0.5685928484,11.06272691,,,,,,,,,,
627,1,bagEarth,0.5684955931,11.21018356,,,,,,,,,,
935,1,bagEarth,0.5681439042,11.59455232,,,,,,,,,,
1019,1,bagEarth,0.5681051206,11.70125881,,,,,,,,,,
1493,1,bagEarth,0.5679817611,12.01276759,,,,,,,,,,
2856,1,bagEarth,0.56797861,11.32858234,,,,,,,,,,
1671,1,bagEarth,0.5679570238,11.07367207,,,,,,,,,,
2385,1,bagEarth,0.5675785303,11.5350212,,,,,,,,,,
3638,1,bagEarth,0.5675102012,10.7803238,,,,,,,,,,
1654,1,bagEarth,0.5674851439,10.99473871,,,,,,,,,,
3023,1,bagEarth,0.5673907126,10.94706765,,,,,,,,,,
3736,1,bagEarth,0.5673043681,11.3781154,,,,,,,,,,
1862,1,bagEarth,0.567221265,11.19014202,,,,,,,,,,
507,1,bagEarth,0.5666238499,11.33768302,,,,,,,,,,
873,1,bagEarth,0.5663704031,10.50176723,,,,,,,,,,
2643,1,bagEarth,0.5661034293,11.19302842,,,,,,,,,,
3933,1,bagEarth,0.5660640043,11.37235122,,,,,,,,,,
739,1,bagEarth,0.5656451609,11.17684061,,,,,,,,,,
3143,1,bagEarth,0.5654878718,10.87674234,,,,,,,,,,
1216,1,bagEarth,0.565300958,11.20952434,,,,,,,,,,
98,1,bagEarth,0.5650299582,11.07006715,,,,,,,,,,
3315,1,bagEarth,0.5648987759,11.82180223,,,,,,,,,,
1181,1,bagEarth,0.5647970507,11.24331452,,,,,,,,,,
3822,1,bagEarth,0.5645532782,11.16097845,,,,,,,,,,
3072,1,bagEarth,0.564143775,11.01532756,,,,,,,,,,
378,1,bagEarth,0.5640445103,10.9515073,,,,,,,,,,
2959,1,bagEarth,0.5637296484,11.40997548,,,,,,,,,,
748,1,bagEarth,0.5637161335,11.98469322,,,,,,,,,,
495,1,bagEarth,0.5635415057,11.21855501,,,,,,,,,,
2340,1,bagEarth,0.5634823198,11.4821337,,,,,,,,,,
2368,1,bagEarth,0.5634410734,11.1594901,,,,,,,,,,
586,1,bagEarth,0.5632659935,11.49781084,,,,,,,,,,
3430,1,bagEarth,0.5631928847,11.37277998,,,,,,,,,,
2705,1,bagEarth,0.5631173225,11.004523,,,,,,,,,,
3943,1,bagEarth,0.5630341171,11.54123411,,,,,,,,,,
3387,1,bagEarth,0.5629814571,11.27080362,,,,,,,,,,
2877,1,bagEarth,0.5629788542,11.70889951,,,,,,,,,,
3098,1,bagEarth,0.5627609191,11.26488013,,,,,,,,,,
218,1,bagEarth,0.562565169,11.60154749,,,,,,,,,,
3675,1,bagEarth,0.5625544719,11.22638826,,,,,,,,,,
2995,1,bagEarth,0.5618975454,11.11602245,,,,,,,,,,
844,1,bagEarth,0.5618046619,11.38526339,,,,,,,,,,
