Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
2124,45,cubist,0.6328962402,9.363494403,,,,,,,,0.04633175434,0.7637787074,0.7663289687
1234,45,cubist,0.6343697665,9.805155463,,,,,,,,,,
2145,45,cubist,0.6371011226,9.182284179,,,,,,,,,,
2629,45,cubist,0.6392068646,8.957910646,,,,,,,,,,
128,45,cubist,0.6468395713,9.599344842,,,,,,,,,,
2049,45,cubist,0.6470001747,9.748374587,,,,,,,,,,
3959,45,cubist,0.64971425,9.207885695,,,,,,,,,,
1721,45,cubist,0.6509137674,9.445997272,,,,,,,,,,
2896,45,cubist,0.6525365737,9.405623619,,,,,,,,,,
232,45,cubist,0.653534035,8.851743407,,,,,,,,,,
291,45,cubist,0.6540428218,8.964385895,,,,,,,,,,
2949,45,cubist,0.6549865313,9.390132999,,,,,,,,,,
3677,45,cubist,0.6562815233,8.587656183,,,,,,,,,,
551,45,cubist,0.6567532102,9.208126515,,,,,,,,,,
2997,45,cubist,0.6570721973,8.782753975,,,,,,,,,,
3805,45,cubist,0.6573558008,9.374736546,,,,,,,,,,
3547,45,cubist,0.6575811948,9.171992894,,,,,,,,,,
2260,45,cubist,0.6597950432,9.284779082,,,,,,,,,,
2662,45,cubist,0.6599064052,8.793909093,,,,,,,,,,
3437,45,cubist,0.6608571602,8.87027635,,,,,,,,,,
2047,45,cubist,0.6609327211,9.034452161,,,,,,,,,,
3762,45,cubist,0.6615675796,8.731227875,,,,,,,,,,
3657,45,cubist,0.6622520272,9.16025692,,,,,,,,,,
1118,45,cubist,0.6639849872,8.68176793,,,,,,,,,,
1891,45,cubist,0.664105318,8.900114459,,,,,,,,,,
100,45,cubist,0.6652199288,8.902992773,,,,,,,,,,
3281,45,cubist,0.6656327444,8.345559878,,,,,,,,,,
3899,45,cubist,0.6662522038,9.187022615,,,,,,,,,,
1130,45,cubist,0.6664294514,8.886198294,,,,,,,,,,
1020,45,cubist,0.6664352438,8.981789467,,,,,,,,,,
2070,45,cubist,0.6671653515,8.686625197,,,,,,,,,,
1338,45,cubist,0.667358425,9.034218734,,,,,,,,,,
520,45,cubist,0.6674450124,8.805351136,,,,,,,,,,
2139,45,cubist,0.6681930334,8.783070361,,,,,,,,,,
2654,45,cubist,0.6688748652,8.942141932,,,,,,,,,,
2969,45,cubist,0.6697711746,8.623878486,,,,,,,,,,
1706,45,cubist,0.6705747278,8.962271731,,,,,,,,,,
1847,45,cubist,0.6708656142,9.227104981,,,,,,,,,,
2471,45,cubist,0.6710424447,8.948567553,,,,,,,,,,
842,45,cubist,0.67114175,8.96332939,,,,,,,,,,
695,45,cubist,0.6711658727,8.695655789,,,,,,,,,,
1895,45,cubist,0.6719093274,9.128979291,,,,,,,,,,
3000,45,cubist,0.672079312,9.133921765,,,,,,,,,,
1459,45,cubist,0.6730758841,8.646697477,,,,,,,,,,
2199,45,cubist,0.6732797566,9.16155065,,,,,,,,,,
2404,45,cubist,0.6733839458,9.444496256,,,,,,,,,,
844,45,cubist,0.6735515524,9.112321306,,,,,,,,,,
3133,45,cubist,0.6739669821,9.03180725,,,,,,,,,,
2574,45,cubist,0.6740356026,8.340026538,,,,,,,,,,
715,45,cubist,0.6742494403,8.985814923,,,,,,,,,,
420,45,cubist,0.6746355334,8.645443274,,,,,,,,,,
2927,45,cubist,0.674718295,9.046152588,,,,,,,,,,
2246,45,cubist,0.674853573,9.214135353,,,,,,,,,,
1014,45,cubist,0.6749736304,9.035825966,,,,,,,,,,
1122,45,cubist,0.6750521338,8.799547432,,,,,,,,,,
3471,45,cubist,0.6757027199,8.561075894,,,,,,,,,,
1612,45,cubist,0.6764447308,9.028504487,,,,,,,,,,
3268,45,cubist,0.6768021925,8.894984678,,,,,,,,,,
3185,45,cubist,0.6768632704,8.947877695,,,,,,,,,,
2673,45,cubist,0.6781675758,8.551475085,,,,,,,,,,
2206,45,cubist,0.6785660168,8.557136556,,,,,,,,,,
3815,45,cubist,0.6788292134,8.986224391,,,,,,,,,,
73,45,cubist,0.6791977151,8.801864496,,,,,,,,,,
1994,45,cubist,0.679703046,8.813709956,,,,,,,,,,
1877,45,cubist,0.6797071059,9.177969033,,,,,,,,,,
