Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
3882,1,svmLinear3,0.6674848933,9.128023584,,,,,,,,0.04074700904,0.7719478334,0.7728125271
3201,1,svmLinear3,0.6683779557,9.119306439,,,,,,,,,,
551,1,svmLinear3,0.670256472,9.392991028,,,,,,,,,,
2259,1,svmLinear3,0.6709090007,8.659204644,,,,,,,,,,
3040,1,svmLinear3,0.6735937317,9.34585756,,,,,,,,,,
1475,1,svmLinear3,0.6757814421,8.211298222,,,,,,,,,,
2381,1,svmLinear3,0.6765388433,9.405521572,,,,,,,,,,
2414,1,svmLinear3,0.6765980956,8.546484579,,,,,,,,,,
3414,1,svmLinear3,0.6786535658,9.048982122,,,,,,,,,,
3185,1,svmLinear3,0.6828073257,8.944078767,,,,,,,,,,
1527,1,svmLinear3,0.6828317291,8.949441543,,,,,,,,,,
3281,1,svmLinear3,0.6832518441,8.784467965,,,,,,,,,,
3624,1,svmLinear3,0.6846655904,9.090374234,,,,,,,,,,
1796,1,svmLinear3,0.6853884273,9.054305877,,,,,,,,,,
3676,1,svmLinear3,0.6861586839,9.008022317,,,,,,,,,,
2117,1,svmLinear3,0.6862357391,8.734148627,,,,,,,,,,
237,1,svmLinear3,0.686251541,8.672869407,,,,,,,,,,
2811,1,svmLinear3,0.6865774169,8.797577478,,,,,,,,,,
2448,1,svmLinear3,0.6894035666,9.050741685,,,,,,,,,,
3193,1,svmLinear3,0.6903751639,8.768705012,,,,,,,,,,
1994,1,svmLinear3,0.6910139236,8.840874512,,,,,,,,,,
958,1,svmLinear3,0.6920409828,9.205862655,,,,,,,,,,
596,1,svmLinear3,0.6924068866,8.88912414,,,,,,,,,,
2262,1,svmLinear3,0.6927863625,8.601207443,,,,,,,,,,
2629,1,svmLinear3,0.6941904407,8.468451886,,,,,,,,,,
3254,1,svmLinear3,0.6943040927,8.692657562,,,,,,,,,,
3904,1,svmLinear3,0.6946741002,8.527376905,,,,,,,,,,
2404,1,svmLinear3,0.6947585357,8.777530798,,,,,,,,,,
2812,1,svmLinear3,0.6954784805,8.938593062,,,,,,,,,,
1706,1,svmLinear3,0.6956970959,8.702740279,,,,,,,,,,
3444,1,svmLinear3,0.6961781518,9.174295164,,,,,,,,,,
955,1,svmLinear3,0.6967719092,8.734591337,,,,,,,,,,
3585,1,svmLinear3,0.6976903842,8.608937641,,,,,,,,,,
179,1,svmLinear3,0.6979553511,9.048187069,,,,,,,,,,
