transcript,gene_id,gene_symbol,status,max,model,cpgs,csv
ENST00000221730.8,ENSG00000105131,EPHX3,ok,0.75,brnn,13,written
ENST00000597219.1,ENSG00000171649,ZIK1,ok,0.77,brnn,11,written
ENST00000495677.1,ENSG00000108821,COL1A1,ok,0.75,brnn,9,written
ENST00000322142.13,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000656838.1,ENSG00000287243,THCAT155,ok,0.76,brnn,8,written
ENST00000389100.9,ENSG00000164197,RNF180,ok,0.75,brnn,8,written
ENST00000371532.5,ENSG00000203995,ZYG11A,ok,0.75,brnn,8,written
ENST00000504296.1,ENSG00000164197,RNF180,ok,0.78,brnn,9,written
ENST00000518131.5,ENSG00000104722,NEFM,ok,0.75,brnn,24,written
ENST00000479460.5,ENSG00000213186,TRIM59,ok,0.83,brnn,17,written
ENST00000265134.10,ENSG00000095397,WHRN,ok,0.76,brnn,16,written
ENST00000495191.5,ENSG00000204314,PRRT1,ok,0.85,brnn,68,written
ENST00000354666.4,ENSG00000197977,ELOVL2,ok,0.93,brnn,9,written
ENST00000415077.1,ENSG00000213889,PPM1N,ok,0.75,brnn,18,written
ENST00000292574.4,ENSG00000160994,TEKTL1,ok,0.77,brnn,17,written
ENST00000472641.1,ENSG00000204314,PRRT1,ok,0.84,brnn,54,written
ENST00000287202.10,ENSG00000140488,CELF6,ok,0.75,brnn,22,written
ENST00000543818.5,ENSG00000166159,LRTM2,ok,0.77,brnn,20,written
ENST00000612017.4,,,http_400,0.75,brnn,8,written
ENST00000662438.1,ENSG00000154358,OBSCN,ok,0.86,glmnet,72,written
ENST00000667154.1,ENSG00000230314,ELOVL2-AS1,ok,0.92,brnn,11,written
ENST00000487977.2,ENSG00000203709,MIR29B2CHG,ok,0.81,brnn,9,written
ENST00000530340.6,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000587412.1,ENSG00000267786,,ok,0.77,brnn,7,written
ENST00000352832.9,ENSG00000006283,CACNA1G,ok,0.78,brnn,46,written
ENST00000509037.1,ENSG00000250448,MARCHF11-DT,ok,0.79,brnn,13,written
ENST00000437872.7,ENSG00000140488,CELF6,ok,0.75,brnn,22,written
ENST00000367797.9,ENSG00000198734,F5,ok,0.77,brnn,12,written
ENST00000471155.5,ENSG00000213186,TRIM59,ok,0.83,brnn,16,written
ENST00000535041.5,ENSG00000166159,LRTM2,ok,0.77,brnn,20,written
ENST00000473670.1,ENSG00000104327,CALB1,ok,0.80,glmnet,12,written
ENST00000598249.6,ENSG00000160460,SPTBN4,ok,0.77,brnn,54,written
ENST00000307468.4,ENSG00000171649,ZIK1,ok,0.76,brnn,11,written
