"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"svmRadialCost",0.00145987799747259,17.8902480508952,21.095141733502,1,1,"full_before_split","split_separate"
2,"svmRadialCost",0.000264076990532742,18.0037719298801,21.3104905241591,2,1,"full_before_split","split_separate"
3,"svmRadialCost",0.0474791741422281,18.2412065125592,21.244856377924,3,1,"full_before_split","split_separate"
4,"svmRadialCost",0.00888428540180815,17.8610627766646,21.0995046286463,4,1,"full_before_split","split_separate"
5,"svmRadialCost",0.0231959979207626,17.5849070260238,21.2862189201951,5,1,"full_before_split","split_separate"
6,"svmRadialCost",0.0107967726814984,17.5847041608666,20.6370638070653,6,1,"full_before_split","split_separate"
7,"svmRadialCost",0.0150071319175415,18.2640283215438,21.0630884013,7,1,"full_before_split","split_separate"
8,"svmRadialCost",0.00356715019380446,19.138520497146,22.6074414002275,8,1,"full_before_split","split_separate"
9,"svmRadialCost",0.0126893171097901,18.0652871113786,20.7333705447361,9,1,"full_before_split","split_separate"
10,"svmRadialCost",0.000933202816739393,18.4910272145745,21.7757513875612,10,1,"full_before_split","split_separate"
11,"svmRadialCost",0.00112617860717177,18.6230443947108,22.1882249622201,11,1,"full_before_split","split_separate"
12,"svmRadialCost",0.00373133624983805,18.5685736113569,22.0496638791213,12,1,"full_before_split","split_separate"
13,"svmRadialCost",0.0914841199546735,17.3061867681933,20.2326604929966,13,1,"full_before_split","split_separate"
14,"svmRadialCost",0.0275590133881249,18.2860978605542,21.1536330099319,14,1,"full_before_split","split_separate"
15,"svmRadialCost",0.0260338778823629,17.3986562070044,20.5887804881422,15,1,"full_before_split","split_separate"
16,"svmRadialCost",0.00144279321986262,18.6302131450272,21.7233937950154,16,1,"full_before_split","split_separate"
17,"svmRadialCost",0.00496604779743249,18.1729970917271,21.7166277591164,17,1,"full_before_split","split_separate"
18,"svmRadialCost",0.00465986246733159,18.9955867838082,22.2387249956095,18,1,"full_before_split","split_separate"
19,"svmRadialCost",0.000487260453547904,17.9314128955481,20.920639086306,19,1,"full_before_split","split_separate"
20,"svmRadialCost",0.0297321722635227,17.826907298302,20.9805910148406,20,1,"full_before_split","split_separate"
21,"svmRadialCost",0.00187682531273759,18.0231249932839,22.0636640995889,21,1,"full_before_split","split_separate"
22,"svmRadialCost",0.00269227927535957,18.4120733088356,21.4906402095,22,1,"full_before_split","split_separate"
23,"svmRadialCost",0.0163715643203887,17.0001173143955,19.9728034744073,23,1,"full_before_split","split_separate"
24,"svmRadialCost",0.0203891042163806,17.3846318314076,20.6156860154604,24,1,"full_before_split","split_separate"
25,"svmRadialCost",0.00131422793514397,18.4011336864351,21.7403151189336,25,1,"full_before_split","split_separate"
26,"svmRadialCost",0.00937630826292752,18.4088154176044,21.5617487847461,26,1,"full_before_split","split_separate"
27,"svmRadialCost",0.0195689478814089,18.4931336030871,21.2728663569262,27,1,"full_before_split","split_separate"
28,"svmRadialCost",0.00653020932845272,17.7378458962634,21.2797496138092,28,1,"full_before_split","split_separate"
29,"svmRadialCost",0.0094680163294219,18.0634923880689,21.1494371815227,29,1,"full_before_split","split_separate"
30,"svmRadialCost",0.0611865242154253,17.2089914031228,19.9670691349208,30,1,"full_before_split","split_separate"
31,"svmRadialCost",0.018172256775699,18.2991785368381,21.4008532254606,31,1,"full_before_split","split_separate"
32,"svmRadialCost",0.000600070563823058,18.8601269677023,22.0813643934268,32,1,"full_before_split","split_separate"
33,"svmRadialCost",0.000388364506296497,18.048511534039,21.0546586131102,33,1,"full_before_split","split_separate"
34,"svmRadialCost",0.017369096671985,17.9157421782511,21.1790620666096,34,1,"full_before_split","split_separate"
35,"svmRadialCost",0.0143504550171385,17.9188061014096,20.8248452910994,35,1,"full_before_split","split_separate"
36,"svmRadialCost",0.00735164387979673,17.8519709221549,20.7572045132199,36,1,"full_before_split","split_separate"
37,"svmRadialCost",0.0062494076881031,18.0412293604254,21.4978251532168,37,1,"full_before_split","split_separate"
38,"svmRadialCost",0.00579140048930525,17.9650781254725,20.8936590944199,38,1,"full_before_split","split_separate"
39,"svmRadialCost",0.00359594373854603,18.5137917188532,22.1191375089038,39,1,"full_before_split","split_separate"
40,"svmRadialCost",0.0134014408343634,17.3329514731237,20.4697769322553,40,1,"full_before_split","split_separate"
41,"svmRadialCost",0.00285261455312466,18.3024233602507,21.8558747728426,41,1,"full_before_split","split_separate"
42,"svmRadialCost",0.0169587818064733,18.039844526197,21.1008004623621,42,1,"full_before_split","split_separate"
43,"svmRadialCost",0.0231106640849886,17.4729438964107,20.554067465792,43,1,"full_before_split","split_separate"
44,"svmRadialCost",1.93527618350566e-07,17.2417607620855,20.7993376524814,44,1,"full_before_split","split_separate"
45,"svmRadialCost",0.0239872674633796,17.5273716545536,21.1493618792384,45,1,"full_before_split","split_separate"
46,"svmRadialCost",0.00594778215708949,18.2613435154101,22.3867372123355,46,1,"full_before_split","split_separate"
