"Sample","Ground_Truth","Predicted","Difference"
"X200550980002_R01C01","74.96","72.5292306574199",-2.43076934258009
"X200550980002_R02C01","31.46","48.6433238494835",17.1833238494835
"X200550980002_R03C01","46.72","71.4136902038272",24.6936902038272
"X200550980002_R04C01","46.36","61.3895143359987",15.0295143359987
"X200550980002_R05C01","53.56","68.9795691823828",15.4195691823828
"X200550980002_R06C01","56.36","70.72969591741",14.36969591741
"X200550980002_R07C01","59","73.0143555311851",14.0143555311851
"X200550980002_R08C01","55.22","71.2373215627449",16.0173215627449
"X200550980010_R04C01","56.24","70.7044641474523",14.4644641474523
"X200550980010_R06C01","39.8","61.5363120628609",21.7363120628609
"X200550980010_R07C01","52.22","58.4068312168899",6.1868312168899
"X200550980025_R03C01","36.4","61.0833812490156",24.6833812490156
"X200550980034_R01C01","55.28","69.9572066808469",14.6772066808469
"X200550980034_R02C01","64.1","72.6503906975402",8.55039069754021
"X200550980034_R03C01","39.6","66.3317879025784",26.7317879025784
"X200550980034_R04C01","48","61.6262004589741",13.6262004589741
"X200550980034_R05C01","74.78","63.4379118133623",-11.3420881866377
"X200550980034_R06C01","58.46","71.031659093634",12.571659093634
"X200550980034_R07C01","40.3","58.2875730206094",17.9875730206094
"X200550980035_R03C01","43.9","68.6607563404924",24.7607563404924
"X200550980035_R04C01","50.12","70.8512366196982",20.7312366196982
"X200550980035_R05C01","68.66","70.418095627533",1.75809562753301
"X200550980035_R08C01","51.6","65.6099733142465",14.0099733142465
"X200590490002_R01C01","60.06","70.4576002660513",10.3976002660513
"X200590490002_R02C01","69.74","74.647142052268",4.907142052268
"X200590490002_R05C01","59.16","65.1461725544436",5.9861725544436
"X200590490002_R06C01","43.4","64.191041651458",20.791041651458
"X200590490002_R07C01","72.12","70.0678080014121",-2.0521919985879
"X200590490002_R08C01","53.32","64.8612735000699",11.5412735000699
"X200590490017_R01C01","55.92","71.8457439383152",15.9257439383152
"X200590490017_R02C01","73.76","57.5218751377757",-16.2381248622243
"X200590490017_R03C01","42.14","63.4370013842945",21.2970013842945
"X200590490017_R04C01","52.2","67.3532559752596",15.1532559752596
"X200590490017_R05C01","40.64","70.0327905085512",29.3927905085512
"X200590490017_R06C01","51.34","66.4815532083921",15.1415532083921
"X200590490017_R07C01","64.46","73.5633983082895",9.10339830828951
"X200590490017_R08C01","50.9","64.7773879651032",13.8773879651032
"X200590490021_R01C01","56.26","70.1544258376661",13.8944258376661
"X200590490021_R02C01","49.16","62.6037791105995",13.4437791105995
"X200590490021_R03C01","59.18","62.1048949625919",2.9248949625919
"X200590490021_R04C01","62.58","66.9140385096743",4.3340385096743
"X200590490021_R05C01","50.2","73.2952723545496",23.0952723545496
"X200590490021_R06C01","49.84","63.3315657596563",13.4915657596563
"X200590490021_R07C01","68.88","61.0722399755339",-7.8077600244661
"X200590490021_R08C01","45.52","72.6701929858487",27.1501929858487
"X200590490052_R01C01","51.12","59.8852085198301",8.7652085198301
"X200590490052_R02C01","47.76","71.2499975709103",23.4899975709103
"X200590490052_R03C01","34.6","59.8836240689714",25.2836240689714
"X200590490052_R04C01","49.9","65.591126211077",15.691126211077
"X200590490052_R05C01","65.36","71.2558505832349",5.8958505832349
"X200590490052_R06C01","74.94","74.1486238814566",-0.791376118543397
"X200590490052_R07C01","62.76","70.271472239902",7.511472239902
"X200590490052_R08C01","56.16","70.7143681690432",14.5543681690432
"X200590490056_R01C01","37.74","50.648837841557",12.908837841557
"X200590490056_R02C01","50.6","63.7088615170896",13.1088615170896
"X200590490056_R03C01","78.2","69.5831548745028",-8.61684512549721
"X200590490056_R04C01","62.56","73.0000318254586",10.4400318254586
"X200590490056_R05C01","78.92","75.0396885400246",-3.8803114599754
"X200590490056_R06C01","72.28","72.6662683447121",0.386268344712093
"X200590490056_R08C01","54.2","71.6680219611987",17.4680219611987
"X200590490062_R01C01","76","62.0838794947897",-13.9161205052103
"X200590490062_R02C01","37.1","69.7197227905355",32.6197227905355
"X200590490062_R03C01","38.98","54.9853102056425",16.0053102056425
"X200590490062_R04C01","43.18","66.681830951845",23.501830951845
"X200590490062_R05C01","66.58","73.1458080574967",6.5658080574967
"X200590490062_R06C01","77.2","73.1543123326235",-4.0456876673765
"X200590490062_R07C01","61.02","73.2353929840244",12.2153929840244
"X200590490062_R08C01","49.4","65.5898995126941",16.1898995126941
"X200590490074_R01C01","47.22","72.415747967147",25.195747967147
"X200590490074_R02C01","54.36","69.8760205481533",15.5160205481533
"X200590490074_R03C01","32.2","68.9231355989331",36.7231355989331
"X200590490074_R04C01","55.9","68.0786016909167",12.1786016909167
"X200590490074_R05C01","61.68","62.4108446487628",0.730844648762798
"X200590490074_R06C01","69.64","62.816307588089",-6.823692411911
"X200590490074_R07C01","80.5","72.7533708398655",-7.7466291601345
"X200590490074_R08C01","39.2","59.5395928077001",20.3395928077001
"X200590500076_R01C01","43.56","67.9262611942271",24.3662611942271
"X200590500076_R02C01","64.38","70.8574533998331",6.47745339983311
"X200590500076_R03C01","37.54","48.5597825494354",11.0197825494354
"X200590500076_R04C01","65.1","72.0552904492357",6.9552904492357
"X200590500076_R05C01","52.2","59.7044547650128",7.5044547650128
"X200590500076_R06C01","57.4","72.0660859525388",14.6660859525388
"X200590500076_R07C01","46.3","70.5021404544799",24.2021404544799
"X200590500076_R08C01","55.94","69.3117549389849",13.3717549389849
"X200594720026_R01C01","33.1","60.4652163048656",27.3652163048656
"X200594720026_R02C01","46.76","53.0406695763476",6.2806695763476
"X200594720026_R03C01","50.52","65.613608345492",15.093608345492
"X200594720026_R04C01","75.54","58.6663164728803",-16.8736835271197
"X200594720026_R05C01","55.84","71.9245788310775",16.0845788310775
"X200594720026_R06C01","57.72","72.9389443031481",15.2189443031481
"X200594720026_R07C01","39.04","66.38569855877",27.34569855877
"X200594720026_R08C01","59.28","72.8578200927325",13.5778200927325
"X200594720075_R01C01","51.72","72.2559990208829",20.5359990208829
"X200594720075_R02C01","54.04","63.2498815946974",9.2098815946974
"X200594720075_R03C01","57.82","65.5072756526688",7.6872756526688
"X200594720075_R04C01","53.82","57.897564161146",4.077564161146
"X200594720075_R05C01","36.8","59.7180686374991",22.9180686374991
"X200594720075_R06C01","50.72","70.4004920141474",19.6804920141474
"X200594720075_R07C01","59.28","76.0794686752795",16.7994686752795
"X200594720075_R08C01","52.04","70.4640659126626",18.4240659126626
"X200594720089_R01C01","32.2","66.6128759989772",34.4128759989772
"X200594720089_R02C01","60.62","62.5554829322517",1.9354829322517
"X200594720089_R03C01","55.78","62.3070354524285",6.5270354524285
"X200594720089_R04C01","43.04","61.323474888779",18.283474888779
"X200594720089_R05C01","65.1","70.5264302526817",5.42643025268171
"X200594720089_R06C01","61.44","72.5209995371328",11.0809995371328
"X200594720089_R07C01","53.74","73.7159912609698",19.9759912609698
"X200594720089_R08C01","52.88","64.8902056668394",12.0102056668394
"X200594740031_R01C01","82.92","74.7954850424859",-8.12451495751411
"X200594740031_R03C01","39.84","57.4348092083354",17.5948092083354
"X200594740031_R04C01","65.2","73.2869286294601",8.0869286294601
"X200594740031_R05C01","36.4","68.7568065287137",32.3568065287137
"X200594740031_R06C01","36.4","56.6646250022582",20.2646250022582
"X200594740031_R07C01","42.86","55.1989377215011",12.3389377215011
"X200594740031_R08C01","75.04","72.2447670667854",-2.79523293321461
"X200594740033_R01C01","72.58","72.1764445522577",-0.403555447742292
"X200594740033_R02C01","62.38","63.8936805046251",1.5136805046251
"X200594740033_R03C01","39.86","58.7630617380128",18.9030617380128
"X200594740033_R04C01","40.1","61.525006718255",21.425006718255
"X200594740033_R05C01","57.3","60.2505932125125",2.9505932125125
"X200594740033_R06C01","77.04","77.1477170327767",0.107717032776691
"X200594740033_R07C01","68.72","73.661255391902",4.941255391902
"X200594740033_R08C01","73.52","73.6057920254145",0.0857920254145057
"X200594740034_R05C01","59.4","64.6699163552339",5.2699163552339
"X200594740034_R06C01","51.96","69.28515494489",17.32515494489
"X200594740034_R07C01","53.24","67.0486564056379",13.8086564056379
"X200594740034_R08C01","36.76","60.138664235378",23.378664235378
"X200594740035_R01C01","40.16","60.8537869472868",20.6937869472868
"X200594740035_R02C01","65.14","72.4583757404513",7.3183757404513
"X200594740035_R03C01","43.64","52.5869443056896",8.9469443056896
"X200594740035_R04C01","69.74","73.657324245607",3.91732424560701
"X200594740035_R05C01","52.04","64.128515799226",12.088515799226
"X200594740035_R06C01","57.76","67.2983657858814",9.5383657858814
"X200594740035_R07C01","74.06","73.5287948364048",-0.531205163595203
"X200594740035_R08C01","74.38","74.2679898043574",-0.112010195642597
"X200594740039_R06C01","67.84","70.0609034801044",2.2209034801044
"X200594740046_R01C01","73.9","72.4176964880944",-1.4823035119056
"X200594740046_R02C01","67.22","72.2245677560956",5.0045677560956
"X200594740046_R03C01","35.3","67.2398904103459",31.9398904103459
"X200594740046_R04C01","59.82","69.4700947702444",9.6500947702444
"X200594740046_R05C01","42.58","70.1346935445629",27.5546935445629
"X200594740046_R06C01","77.54","62.1425817992884",-15.3974182007116
"X200594740046_R07C01","77.12","72.3642498782535",-4.7557501217465
"X200594740046_R08C01","52.38","69.8463505271581",17.4663505271581
"X200594740047_R01C01","51.88","69.927894502597",18.047894502597
"X200594740047_R02C01","38.72","53.7021159237152",14.9821159237152
"X200594740047_R03C01","52.36","65.890915075879",13.530915075879
"X200594740047_R04C01","37.06","70.3710757179649",33.3110757179649
"X200594740047_R05C01","50.76","73.4204717568051",22.6604717568051
"X200594740047_R06C01","47.5","60.5574037672134",13.0574037672134
"X200594740047_R07C01","72.8","70.6483838234874",-2.15161617651259
"X200594740047_R08C01","62.06","69.1092933702201",7.0492933702201
"X200594740051_R01C01","60.4","72.7435230670153",12.3435230670153
"X200594740051_R02C01","42.1","62.8421440202945",20.7421440202945
"X200594740051_R03C01","65.38","74.195615074334",8.815615074334
"X200594740051_R04C01","65.26","66.5972350233857",1.33723502338569
"X200594740051_R05C01","51.6","66.074399993012",14.474399993012
"X200594740051_R06C01","80.84","74.0316430842309",-6.80835691576911
"X200594740051_R07C01","62.98","68.432563956881",5.452563956881
"X200594740051_R08C01","56.96","67.5932944522299",10.6332944522299
"X200594740052_R01C01","47.68","67.7667600135332",20.0867600135332
"X200594740052_R02C01","72.04","74.4977637484144",2.45776374841439
"X200594740052_R03C01","46.94","61.9783822295564",15.0383822295564
"X200594740052_R04C01","65.56","65.2643358595052",-0.295664140494807
"X200594740052_R05C01","44.08","53.6050216184445",9.52502161844451
"X200594740052_R06C01","55.16","72.757714788643",17.597714788643
"X200594740052_R07C01","64.18","70.8113720160254",6.6313720160254
"X200594740052_R08C01","66.06","73.6631531745387",7.6031531745387
"X200594740057_R01C01","42.5","58.6767051645291",16.1767051645291
"X200594740057_R02C01","74.26","71.4020790873362",-2.8579209126638
"X200594740057_R03C01","60.38","71.2070659411933",10.8270659411933
"X200594740057_R04C01","36.1","60.3957921800059",24.2957921800059
"X200594740057_R05C01","50.94","58.7044210803524",7.7644210803524
"X200594740057_R06C01","51.94","73.5094421238689",21.5694421238689
"X200594740057_R07C01","60.18","70.1749203039604",9.99492030396041
"X200594740057_R08C01","45.28","69.50386822271",24.22386822271
"X200594740069_R01C01","41.32","63.9631808865917",22.6431808865917
"X200594740069_R02C01","50.3","57.8116690817216",7.5116690817216
"X200594740069_R03C01","42.46","72.3770576196227",29.9170576196227
"X200594740069_R04C01","54.44","72.8519064811454",18.4119064811454
"X200594740069_R05C01","62.66","68.1263943292235",5.4663943292235
"X200594740069_R06C01","61.48","69.9799335145352",8.49993351453521
"X200594740069_R07C01","59.52","70.5966489858746",11.0766489858746
"X200594740069_R08C01","67.94","74.4042849665844",6.4642849665844
"X200594740070_R01C01","42.78","64.0201136734891",21.2401136734891
"X200594740070_R02C01","67.3","69.5225571803607",2.22255718036071
"X200594740070_R03C01","35","70.7249801006048",35.7249801006048
"X200594740070_R04C01","38.5","65.0570144851086",26.5570144851086
"X200594740070_R06C01","48.76","57.2248908688359",8.4648908688359
"X200594740070_R07C01","55.12","70.9433454735375",15.8233454735375
"X200594740070_R08C01","73.24","72.0145822123687",-1.2254177876313
"X200594740072_R01C01","62.14","69.2275591754373",7.08755917543731
"X200594740072_R02C01","58","70.1560534935746",12.1560534935746
"X200594740072_R03C01","58.72","73.3894570374279",14.6694570374279
"X200594740072_R04C01","50.52","71.9852087159042",21.4652087159042
"X200594740072_R05C01","66.22","72.8778849041704",6.6578849041704
"X200594740072_R06C01","55.98","64.4812556227186",8.50125562271861
"X200594740072_R07C01","52.36","59.9100539351659",7.5500539351659
"X200594740072_R08C01","53.66","61.7856387307203",8.1256387307203
"X200594740073_R01C01","53.96","58.7337898025174",4.7737898025174
"X200594740073_R02C01","55.08","62.7266672865143",7.6466672865143
"X200594740073_R03C01","64.24","71.0158613742115",6.7758613742115
"X200594740073_R04C01","75.02","74.4817406574519",-0.538259342548102
"X200594740073_R05C01","71.74","69.8748624759589",-1.86513752404109
"X200594740073_R06C01","52.02","69.324681857247",17.304681857247
"X200594740073_R07C01","53.14","70.4569534742013",17.3169534742013
"X200594740073_R08C01","54.9","70.9736401649519",16.0736401649519
"X200594740075_R02C01","78.42","76.1839823210494",-2.2360176789506
"X200594740075_R03C01","62.1","59.6383543903508",-2.4616456096492
"X200594740075_R04C01","65.06","69.919646251628",4.85964625162799
"X200594740075_R05C01","55.1","70.2956062313274",15.1956062313274
"X200594740075_R06C01","54.94","69.874837327699",14.934837327699
"X200594740075_R07C01","69.22","73.2777665170231",4.0577665170231
"X200594740079_R01C01","58.32","68.7557813440411",10.4357813440411
"X200594740079_R02C01","40.72","62.1958369488939",21.4758369488939
"X200594740079_R03C01","52.72","71.0326588935053",18.3126588935053
"X200594740079_R04C01","50.52","52.3716839427323",1.85168394273229
"X200594740079_R05C01","53.4","65.5828610471087",12.1828610471087
"X200594740079_R06C01","54.94","71.7722914862945",16.8322914862945
"X200594740079_R07C01","80.86","73.4450576303179",-7.41494236968209
"X200594740079_R08C01","56.34","73.2101501131647",16.8701501131647
"X200594740080_R01C01","66","67.8336410206591",1.8336410206591
"X200594740080_R02C01","85.28","68.7919028559413",-16.4880971440587
"X200594740080_R03C01","52.36","71.0242092237813",18.6642092237813
"X200594740080_R04C01","61.06","68.5892038874854",7.52920388748539
"X200594740080_R05C01","49.04","71.5519634422879",22.5119634422879
"X200594740080_R06C01","34.92","69.921627226645",35.001627226645
"X200594740080_R07C01","73.56","72.8747325226156",-0.6852674773844
"X200594740080_R08C01","68.16","60.1263312983861",-8.0336687016139
"X200594740083_R01C01","53.76","65.9122472427933",12.1522472427933
"X200594740083_R02C01","66.98","71.8769436834981",4.89694368349809
"X200594740083_R03C01","50.02","73.4407058549126",23.4207058549126
"X200594740083_R04C01","40.7","69.1962989245125",28.4962989245125
"X200594740083_R05C01","73.9","72.1987512780903",-1.70124872190971
"X200594740083_R06C01","47.74","56.6898284311952",8.9498284311952
"X200594740083_R07C01","48.88","71.0088653708537",22.1288653708537
"X200594740083_R08C01","65.58","70.8118904621151",5.2318904621151
"X200594740084_R01C01","71.76","69.5115244347063",-2.2484755652937
"X200594740084_R02C01","39.2","60.6566291574345",21.4566291574345
"X200594740084_R03C01","48.94","71.8605247012061",22.9205247012061
"X200594740084_R04C01","54.08","68.0593117493702",13.9793117493702
"X200594740084_R05C01","58.64","74.6535874255996",16.0135874255996
"X200594740084_R06C01","54.24","66.8762933651957",12.6362933651957
"X200594740084_R07C01","54.92","61.2909209451343",6.3709209451343
"X200594740084_R08C01","49.28","64.9229418560351",15.6429418560351
"X200594740085_R01C01","72.02","70.5903095532928",-1.4296904467072
"X200594740085_R02C01","55.38","70.5388792893893",15.1588792893893
"X200594740085_R03C01","42.6","72.3787762532072",29.7787762532072
"X200594740085_R04C01","52.1","58.2440821833182",6.1440821833182
"X200594740085_R05C01","40.8","61.3068037649188",20.5068037649188
"X200594740085_R06C01","33.08","61.6058613375009",28.5258613375009
"X200594740085_R07C01","47.68","66.7274196458651",19.0474196458651
"X200594740085_R08C01","49.78","67.6416214608366",17.8616214608366
"X200594740086_R01C01","60.36","73.1751980268869",12.8151980268869
"X200594740086_R02C01","60.68","63.437060023794",2.757060023794
"X200594740086_R04C01","79.44","76.4359309227215",-3.0040690772785
"X200594740086_R05C01","48.32","72.7810533213988",24.4610533213988
"X200594740086_R06C01","35.5","54.9023736194748",19.4023736194748
"X200594740086_R07C01","73.02","62.9881516071259",-10.0318483928741
"X200594740086_R08C01","63","66.1044382864147",3.10443828641471
"X200594740087_R02C01","39.96","60.7739023046176",20.8139023046176
"X200594740087_R03C01","38.8","69.306086920626",30.506086920626
"X200594740087_R05C01","66.52","71.9313026803927",5.41130268039271
"X200594740087_R06C01","37","67.9271311746143",30.9271311746143
"X200594740087_R07C01","47.94","65.4950511647882",17.5550511647882
"X200594740087_R08C01","33.8","53.712592217468",19.912592217468
"X200594740089_R01C01","64.98","73.1161325984631",8.13613259846309
"X200594740089_R02C01","75.18","73.0167368312126",-2.16326316878741
"X200594740089_R03C01","54.26","67.2496451557785",12.9896451557785
"X200594740089_R04C01","33.1","61.1518764339284",28.0518764339284
"X200594740089_R05C01","42.64","54.0721547437467",11.4321547437467
"X200594740089_R06C01","60.54","67.0823704899425",6.54237048994251
"X200594740089_R07C01","42.98","71.0406265325179",28.0606265325179
"X200594740089_R08C01","46.12","61.088976666017",14.968976666017
"X200598340032_R01C01","39","55.2265651552695",16.2265651552695
"X200598340032_R02C01","64.02","71.6471740351976",7.6271740351976
"X200598340032_R03C01","49.08","73.5653196173158",24.4853196173158
"X200598340032_R04C01","66.88","73.7496034196031",6.86960341960311
"X200598340032_R05C01","56.1","69.7307732878475",13.6307732878475
"X200598340032_R06C01","69.04","58.7449410381484",-10.2950589618516
"X200598340032_R07C01","44.96","66.9247170765645",21.9647170765645
"X200598340032_R08C01","52.38","68.4721930365637",16.0921930365637
"X200598340033_R01C01","33.8","57.3318331173639",23.5318331173639
"X200598340033_R02C01","44.7","66.710546783222",22.010546783222
"X200598340033_R03C01","88.46","72.4476968225996",-16.0123031774004
"X200598340033_R04C01","35","66.1402888296695",31.1402888296695
"X200598340033_R05C01","50.68","73.3845404047723",22.7045404047723
"X200598340033_R06C01","57.6","69.8500177199368",12.2500177199368
"X200598340033_R07C01","43.1","56.1037303439371",13.0037303439371
"X200598340033_R08C01","55.02","62.3231119128554",7.3031119128554
"X200598340037_R01C01","52.86","66.7678691643612",13.9078691643612
"X200598340037_R02C01","32.4","65.458891714653",33.058891714653
"X200598340037_R03C01","57.14","63.5899322788743",6.4499322788743
"X200598340037_R04C01","69.4","71.3706896526356",1.9706896526356
"X200598340037_R05C01","56.74","65.8498061709951",9.10980617099509
"X200598340037_R06C01","44.22","69.9132474707991",25.6932474707991
"X200598340037_R07C01","47.44","66.649029743836",19.209029743836
"X200598340040_R01C01","69.02","65.2454221367191",-3.7745778632809
"X200598340040_R02C01","31.2","70.4926686263198",39.2926686263198
"X200598340040_R03C01","50.4","71.8051809830571",21.4051809830571
"X200598340040_R04C01","49.94","72.7076144377454",22.7676144377454
"X200598340040_R05C01","37.4","51.9531561016017",14.5531561016017
"X200598340040_R06C01","33.9","59.0382643294266",25.1382643294266
"X200598340040_R07C01","56.76","72.7151990096593",15.9551990096593
"X200598340040_R08C01","45.24","60.334046274933",15.094046274933
"X200598350004_R02C01","44.06","66.6791748205714",22.6191748205714
"X200598350004_R03C01","66.02","71.4988438505572",5.4788438505572
"X200598350004_R04C01","55.76","70.5390317105076",14.7790317105076
"X200598350004_R05C01","47.7","70.9782472909698",23.2782472909698
"X200598350004_R07C01","46.6","62.6608886402049",16.0608886402049
"X200598350004_R08C01","71.12","74.0308607464102",2.91086074641019
"X200598350005_R01C01","41.68","66.4892400346439",24.8092400346439
"X200598350005_R04C01","36.66","63.4013483928001",26.7413483928001
"X200598350005_R05C01","45.84","58.332077087876",12.492077087876
"X200598350005_R07C01","40.42","61.7478822253496",21.3278822253496
"X200598350006_R01C01","47.66","63.3220132328934",15.6620132328934
"X200598350006_R02C01","58.42","62.2450819586997",3.8250819586997
"X200598350006_R03C01","38.54","64.0757826910594",25.5357826910594
"X200598350006_R04C01","51.04","70.046740432025",19.006740432025
"X200598350006_R05C01","52.62","68.9148813713715",16.2948813713715
"X200598350006_R06C01","67.56","73.0490101053658",5.48901010536579
"X200598350006_R07C01","60.68","66.1908972624906",5.51089726249059
"X200598350006_R08C01","57.22","72.1340412595592",14.9140412595592
"X200598350011_R01C01","44.76","72.5681318943801",27.8081318943801
"X200598350011_R02C01","67.68","72.8185236855123",5.1385236855123
"X200598350011_R03C01","63.08","69.4827585888597",6.4027585888597
"X200598350011_R04C01","49.6","70.176983360729",20.576983360729
"X200598350011_R05C01","37.5","59.2314643540466",21.7314643540466
"X200598350011_R06C01","77.16","73.2003828316323",-3.9596171683677
