"Sample","Ground_Truth","Predicted","Difference"
"X100120","103","103.521153637784",0.521153637783996
"X100165","35","82.2244346980475",47.2244346980475
"X101417","75","163.606255558842",88.606255558842
"X101573","59","99.3507533981503",40.3507533981503
"X103811","82","81.6387767865611",-0.361223213438905
"X104111","87","105.11592715981",18.11592715981
"X104425","76","84.4538332214783",8.45383322147831
"X105191","77","98.401013629266",21.401013629266
"X105280","74","84.4434212850448",10.4434212850448
"X105437","42","67.3637795340254",25.3637795340254
"X10556","65","77.9037112131537",12.9037112131537
"X10585","48","91.3060596132968",43.3060596132968
"X106636","87","87.6508556437484",0.6508556437484
"X107471","85","91.5948068174868",6.5948068174868
"X107894","65","74.5779540855945",9.5779540855945
"X108670","96","106.07964804375",10.07964804375
"X108787","68","88.0482594509149",20.0482594509149
"X110638","85","73.0533849428685",-11.9466150571315
"X110937","76","97.8035336140616",21.8035336140616
"X112139","74","102.321155514293",28.321155514293
"X112451","63","74.5009532384338",11.5009532384338
"X112648","63","87.2149046039267",24.2149046039267
"X113790","54","71.5878740283723",17.5878740283723
"X114269","72","98.3156099481222",26.3156099481222
"X114463","73","100.177018978526",27.177018978526
"X114517","70","87.6720072685522",17.6720072685522
"X115607","84","99.0284578192979",15.0284578192979
"X117477","72","103.34139311975",31.34139311975
"X117711","31","77.1840439480039",46.1840439480039
"X119624","35","81.4533253782614",46.4533253782614
"X119765","75","109.794512022346",34.794512022346
"X119833","70","83.9713498862837",13.9713498862837
"X123774","72","102.437877738495",30.437877738495
"X12498","50","85.0815450230313",35.0815450230313
"X12515","79","93.5434922995341",14.5434922995341
"X126024","96","103.146040200958",7.146040200958
"X126254","78","84.884594883131",6.884594883131
"X126536","76","90.996591497774",14.996591497774
"X127107","90","88.6219976375862",-1.3780023624138
"X127256","66","79.2107631500981",13.2107631500981
"X128677","87","58.715379993066",-28.284620006934
"X130623","68","86.7157506319385",18.7157506319385
"X132134","76","101.935977143931",25.935977143931
"X132772","61","73.4930967070022",12.4930967070022
"X133308","62","85.846744372446",23.846744372446
"X134046","79","88.7447501286318",9.74475012863179
"X134459","75","106.139577358975",31.139577358975
"X135261","74","101.693871838946",27.693871838946
"X138103","65","82.507373699834",17.507373699834
"X140045","64","87.6496418374348",23.6496418374348
"X141059","62","86.0925805083767",24.0925805083767
"X141932","83","86.1042037649496",3.1042037649496
"X142869","69","81.6893683785108",12.6893683785108
"X144008","82","87.6755484330023",5.67554843300231
"X144592","52","90.4447188088217",38.4447188088217
"X146054","79","87.2182936196992",8.2182936196992
"X146189","78","98.0779260148819",20.0779260148819
"X148666","65","90.6481995996764",25.6481995996764
"X149215","80","90.1120478086073",10.1120478086073
"X149317","45","82.8522150778177",37.8522150778177
"X150347","55","85.6868866468502",30.6868866468502
"X150811","90","109.344317003668",19.344317003668
"X1540949","49","78.3631120632425",29.3631120632425
"X155606","52","84.5110431838366",32.5110431838366
"X157736","74","88.7025723957775",14.7025723957775
"X158151","76","97.399988825398",21.399988825398
"X1583280","62","97.4086793462781",35.4086793462781
"X159562","91","95.3422843454658",4.3422843454658
