"","age","cg04875128","cg01763090","cg03822622","cg11865208"
"GSM989827",67,0.2162038,0.1900288,0.3947149,0.8472246
"GSM989828",89,0.3633732,0.2222153,0.3144265,0.8306154
"GSM989829",66,0.3048804,0.2083145,0.3885978,0.8399101
"GSM989830",64,0.2660456,0.2117435,0.3700656,0.8078703
"GSM989831",62,0.2668315,0.2161903,0.4158003,0.8146732
"GSM989832",87,0.3434956,0.1891319,0.4123323,0.8379345
"GSM989833",73,0.2784252,0.2153667,0.3146472,0.8291135
"GSM989834",75,0.305015,0.2418906,0.3677213,0.8572937
"GSM989835",73,0.3186431,0.2106908,0.3496409,0.8003915
"GSM989836",83,0.4157456,0.2482005,0.3346719,0.7939231
"GSM989837",82,0.4066243,0.1989032,0.3015048,0.8388556
"GSM989838",48,0.1858637,0.1730063,0.4014443,0.8099014
"GSM989839",77,0.3488465,0.2289148,0.3190291,0.7783724
"GSM989840",54,0.173637,0.149825,0.4157349,0.838042
"GSM989841",63,0.2733135,0.203987,0.3384282,0.8114423
"GSM989842",71,0.3242104,0.2182581,0.3607997,0.8273911
"GSM989843",68,0.3141314,0.218257,0.3777385,0.8358783
"GSM989844",80,0.3131818,0.2236093,0.3147075,0.7925352
"GSM989845",92,0.3771586,0.2384311,0.3553982,0.8442352
"GSM989846",60,0.2559325,0.1908236,0.3368741,0.7756208
"GSM989847",79,0.3251676,0.1931162,0.355626,0.8114257
"GSM989848",68,0.2448821,0.2073043,0.2728196,0.734534
"GSM989849",93,0.3830715,0.2063548,0.3235437,0.8336709
"GSM989850",84,0.5311509,0.2636511,0.2777136,0.8364009
"GSM989851",74,0.3056631,0.2119706,0.369102,0.8068021
"GSM989852",74,0.2498439,0.2154677,0.3811276,0.8349051
"GSM989853",76,0.3289151,0.1988705,0.3510176,0.7907627
"GSM989854",56,0.1571586,0.1607756,0.2751073,0.8297657
"GSM989855",72,0.2870217,0.1990786,0.3872737,0.8382071
"GSM989856",75,0.2681026,0.2090212,0.343692,0.8420127
"GSM989857",79,0.2751465,0.1908263,0.397052,0.8273411
"GSM989858",73,0.5444397,0.2266545,0.285911,0.8500674
"GSM989859",82,0.38222,0.1969583,0.4211293,0.8167296
"GSM989860",74,0.3215057,0.1943373,0.3232913,0.8068787
"GSM989861",79,0.2548997,0.1548154,0.2689905,0.8513059
"GSM989862",54,0.1905678,0.1740431,0.3609292,0.7847005
"GSM989863",101,0.3402606,0.2533093,0.351461,0.7829412
"GSM989864",79,0.4317869,0.2572627,0.3823123,0.8361045
"GSM989865",84,0.4137461,0.2443147,0.3763564,0.8266123
"GSM989866",85,0.3518112,0.2242236,0.3932161,0.8197911
"GSM989867",87,0.3712437,0.2457938,0.355023,0.8125401
"GSM989868",74,0.3526337,0.216316,0.3799684,0.8190496
"GSM989869",77,0.3011205,0.2136747,0.3186224,0.8254219
"GSM989870",73,0.5010237,0.194264,0.4716276,0.6917982
"GSM989871",87,0.3652996,0.230744,0.4212579,0.8214305
"GSM989872",85,0.2694456,0.2249774,0.3893746,0.8465483
"GSM989873",88,0.3646044,0.1987403,0.3516741,0.8190147
"GSM989874",66,0.3070757,0.1717581,0.3524703,0.7940402
"GSM989875",78,0.3404455,0.183566,0.3121253,0.8437492
"GSM989876",53,0.2035302,0.1862231,0.3552677,0.8101985
"GSM989877",76,0.3763835,0.2235528,0.45656,0.7938603
"GSM989878",67,0.2544954,0.1785645,0.4163255,0.8600199
"GSM989879",73,0.401012,0.2444042,0.3614142,0.8344673
"GSM989880",54,0.2715507,0.207341,0.3640116,0.7839761
"GSM989881",73,0.2998433,0.2010371,0.3737743,0.8370067
"GSM989882",96,0.4299285,0.2337432,0.3853441,0.8279998
"GSM989883",57,0.3538772,0.1844308,0.4814186,0.8646884
"GSM989884",76,0.3036818,0.1845496,0.451694,0.8261989
"GSM989885",47,0.1576707,0.1594519,0.3779551,0.8322517
"GSM989886",54,0.2159677,0.1616877,0.3407029,0.7994363
"GSM989887",73,0.2405015,0.1532461,0.3420207,0.8035311
"GSM989888",84,0.296414,0.2389421,0.3358078,0.8410629
"GSM989889",62,0.2635552,0.2700763,0.4503949,0.906042
"GSM989890",89,0.4710317,0.2507652,0.3619126,0.8405841
"GSM989891",68,0.3955874,0.1976286,0.2781913,0.8176727
"GSM989892",62,0.2954905,0.1834396,0.3814985,0.8356704
"GSM989893",79,0.2716279,0.2112896,0.3164713,0.7974907
"GSM989894",72,0.3133605,0.1815755,0.3550479,0.8378416
"GSM989895",69,0.3171374,0.1586142,0.4400951,0.8376088
"GSM989896",55,0.190694,0.1528565,0.317237,0.8295847
"GSM989897",73,0.2737952,0.215026,0.3258257,0.8470559
"GSM989898",79,0.2952237,0.2048801,0.3678794,0.8047571
"GSM989899",72,0.2838593,0.1870373,0.3607955,0.8110983
"GSM989900",89,0.3994895,0.2314703,0.3659333,0.854902
"GSM989901",79,0.35485,0.2141976,0.3110382,0.8107604
"GSM989902",85,0.410223,0.2247358,0.3972246,0.7909948
"GSM989903",68,0.3734124,0.1686171,0.3771969,0.8206877
"GSM989904",89,0.3818846,0.2006525,0.3245884,0.8283139
"GSM989905",73,0.4713927,0.2103429,0.3860552,0.8015365
"GSM989906",63,0.2241831,0.1818515,0.3785506,0.7997129
"GSM989907",78,0.2972158,0.200791,0.3373814,0.8187288
"GSM989908",65,0.2747327,0.1985164,0.3255903,0.8171554
"GSM989909",65,0.2570478,0.2078009,0.3909354,0.8194787
"GSM989910",89,0.3820039,0.2344026,0.3332275,0.8401812
"GSM989911",85,0.3028788,0.2157138,0.3132775,0.8269118
"GSM989912",66,0.2255896,0.1550024,0.3760165,0.8213729
"GSM989913",76,0.2992278,0.1725734,0.3351772,0.8186986
"GSM989914",74,0.3531579,0.2151484,0.3181829,0.8299043
"GSM989915",84,0.3296209,0.2063508,0.3547511,0.8282247
"GSM989916",71,0.3175417,0.181784,0.290208,0.8399591
"GSM989917",49,0.2655585,0.1799129,0.3485468,0.8180182
"GSM989918",69,0.2926466,0.2275924,0.3407348,0.8534138
"GSM989919",63,0.3137225,0.1996754,0.3501988,0.8329728
"GSM989920",66,0.3033227,0.1934632,0.328118,0.8487523
"GSM989921",85,0.3976805,0.200229,0.3962351,0.8447245
"GSM989922",76,0.3067384,0.2030988,0.3283752,0.8459386
"GSM989923",84,0.5267187,0.3943954,0.3505013,0.8600919
"GSM989924",59,0.2105895,0.1843238,0.3345598,0.8172229
"GSM989925",70,0.212446,0.1834302,0.373707,0.8094644
"GSM989926",65,0.2373754,0.1929073,0.3457732,0.8539439
"GSM989927",68,0.3528642,0.232979,0.3939539,0.858342
"GSM989928",84,0.3883604,0.2673784,0.3537999,0.8459059
"GSM989929",75,0.3370161,0.2096468,0.3907112,0.8332741
"GSM989930",51,0.1261435,0.1612976,0.3343864,0.8298233
"GSM989931",63,0.2075885,0.2056446,0.4003599,0.8247367
"GSM989932",69,0.2812291,0.193182,0.3778435,0.8400106
"GSM989933",78,0.3714302,0.25063,0.390503,0.7936166
"GSM989934",78,0.388146,0.247671,0.3354047,0.8426737
"GSM989935",52,0.1680293,0.1710478,0.3843198,0.8346881
"GSM989936",49,0.2631608,0.1735063,0.3735139,0.8328531
"GSM989937",53,0.1806222,0.1862116,0.3713483,0.8007649
"GSM989938",59,0.2346098,0.1902691,0.3478619,0.8035753
"GSM989939",62,0.1900136,0.1881528,0.3142609,0.7886333
"GSM989940",46,0.1249945,0.1976042,0.2810748,0.8279637
"GSM989941",68,0.309408,0.2442751,0.3495382,0.815374
"GSM989942",74,0.3325033,0.2269543,0.3225794,0.8259411
"GSM989943",59,0.2438735,0.1813402,0.3157547,0.8405172
"GSM989944",76,0.324666,0.1974944,0.326778,0.7938908
"GSM989945",54,0.2816808,0.1929576,0.3689696,0.8283035
"GSM989946",59,0.2606435,0.2000142,0.2949063,0.7885663
"GSM989947",48,0.2769837,0.1744644,0.3565532,0.8278301
"GSM989948",45,0.2031416,0.1800566,0.3343302,0.8212367
"GSM989949",62,0.2154543,0.184649,0.3598004,0.8246606
"GSM989950",63,0.2476783,0.1773372,0.3222849,0.8374295
"GSM989951",80,0.2978647,0.2130942,0.3482382,0.8346537
"GSM989952",60,0.2470993,0.1683194,0.3267576,0.7916644
"GSM989953",71,0.3770607,0.2274706,0.3359693,0.7866213
"GSM989954",67,0.2013346,0.2089331,0.3893757,0.7930244
"GSM989955",50,0.1606439,0.1702412,0.3733037,0.8388122
"GSM989956",86,0.3144603,0.215816,0.3760904,0.8314485
"GSM989957",70,0.214032,0.2302468,0.2706773,0.8228119
"GSM989958",54,0.2226058,0.1846209,0.3597762,0.8241873
"GSM989959",69,0.3034407,0.1935544,0.374015,0.7980338
"GSM989960",76,0.3090439,0.2056149,0.3147927,0.8526629
"GSM989961",58,0.2900257,0.1776558,0.3331056,0.8233067
"GSM989962",58,0.2221839,0.1555458,0.3298259,0.8222896
"GSM989963",64,0.2114487,0.1845701,0.3587574,0.8456212
"GSM989964",73,0.2983297,0.1919136,0.3557677,0.8565748
"GSM989965",49,0.1674346,0.146805,0.3094655,0.8394207
"GSM989966",56,0.1472725,0.1445973,0.3466412,0.8382593
"GSM989967",75,0.2354852,0.1617906,0.489475,0.8610771
"GSM989968",48,0.276725,0.1751746,0.3480271,0.8051782
"GSM989969",81,0.3321691,0.2389975,0.3146239,0.8004616
"GSM989970",72,0.3284726,0.1762967,0.3959886,0.832478
"GSM989971",61,0.1626382,0.1612203,0.2770818,0.815133
"GSM989972",50,0.2904345,0.1821707,0.3685305,0.7900996
"GSM989973",69,0.2879153,0.1795895,0.3733162,0.8144459
"GSM989974",65,0.2885948,0.1950484,0.3298724,0.8096711
"GSM989975",47,0.1346027,0.1638431,0.332415,0.8305379
"GSM989976",43,0.2023749,0.173405,0.3363687,0.8219731
