"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"bagEarth",0.379929286293106,9.47329521947557,11.4396412164729,1,1,"full_before_split","split_separate"
2,"bagEarthGCV",0.380106413825505,9.48283206249426,11.4445229360383,1,1,"full_before_split","split_separate"
3,"bayesglm",0.236270041388049,10.2405563790162,12.8702768746516,1,1,"full_before_split","split_separate"
4,"blackboost",0.230133764033446,10.1297360962545,12.7370055367065,1,1,"full_before_split","split_separate"
5,"blasso",0.234982228754949,10.1591680973206,12.7253232399771,1,1,"full_before_split","split_separate"
6,"blassoAveraged",0.234982228754949,10.1591680973206,12.7253232399771,1,1,"full_before_split","split_separate"
7,"bridge",0.233918696462132,10.1612206000425,12.7653144485487,1,1,"full_before_split","split_separate"
8,"brnn",0.254008065702938,10.025349055772,12.6626565776071,1,1,"full_before_split","split_separate"
9,"BstLm",0.072946859963848,11.455663062038,14.0489773528533,1,1,"full_before_split","split_separate"
10,"bstSm",0.38772060892218,9.32385483415155,11.3767231305379,1,1,"full_before_split","split_separate"
11,"bstTree",0.358411645701319,9.66772670894776,11.6903575583691,1,1,"full_before_split","split_separate"
12,"cforest",0.309046046685761,9.62031106494947,12.0453090466869,1,1,"full_before_split","split_separate"
13,"ctree",0.122762671136696,11.2631873789647,13.7160637669707,1,1,"full_before_split","split_separate"
14,"ctree2",0.198454491228371,10.2200131076247,13.1590501863928,1,1,"full_before_split","split_separate"
15,"cubist",0.296757954212532,9.975453125,12.2228149888363,1,1,"full_before_split","split_separate"
16,"dnn",0.106063590095637,12.0841060127622,15.2346674769751,1,1,"full_before_split","split_separate"
17,"earth",0.330677730661294,9.91441098142194,11.9407900269704,1,1,"full_before_split","split_separate"
18,"enet",0.22796856151606,10.1753041204655,12.7451086954402,1,1,"full_before_split","split_separate"
19,"evtree",0.0897364522435944,11.3055188216039,13.8344822695118,1,1,"full_before_split","split_separate"
20,"gamboost",0.378874922706775,9.38587829431578,11.4536491464685,1,1,"full_before_split","split_separate"
21,"gamLoess",0.341838552946328,9.773297559818,12.2079964219354,1,1,"full_before_split","split_separate"
22,"gamSpline",0.40975906090732,9.21738613436525,11.2010666241318,1,1,"full_before_split","split_separate"
23,"gaussprPoly",0.321643631138382,9.80002290288167,12.0662132561964,1,1,"full_before_split","split_separate"
24,"gbm",0.306112752109927,9.91747361628611,12.2274587492272,1,1,"full_before_split","split_separate"
25,"gcvEarth",0.330677730661294,9.91441098142194,11.9407900269704,1,1,"full_before_split","split_separate"
26,"glm.nb",0.242802245104838,10.3106868565585,13.0966188123564,1,1,"full_before_split","split_separate"
27,"glm",0.224144299679615,10.4090756108609,13.1827198918482,1,1,"full_before_split","split_separate"
28,"glmboost",0.228816176342908,10.1696283564377,12.7380389733557,1,1,"full_before_split","split_separate"
29,"glmnet",0.223790846030771,10.1889871179413,12.7490954769882,1,1,"full_before_split","split_separate"
30,"glmStepAIC",0.212713179549604,10.3852583038137,13.1391517092106,1,1,"full_before_split","split_separate"
31,"icr",0.176926243887625,10.7653873195219,13.1362189491611,1,1,"full_before_split","split_separate"
32,"kernelpls",0.252559911039945,9.89180476695351,12.5849506689667,1,1,"full_before_split","split_separate"
33,"kknn",0.228607121791814,10.3385630710484,12.7991116206183,1,1,"full_before_split","split_separate"
34,"knn",0.135795192262253,11.3691428571429,13.8647107464106,1,1,"full_before_split","split_separate"
35,"krlsPoly",0.31346372313465,11.6547499991116,14.343769782271,1,1,"full_before_split","split_separate"
36,"krlsRadial",0.346384002814209,9.58445415496402,11.7290662575405,1,1,"full_before_split","split_separate"
37,"lars",0.22796856151606,10.1753041204655,12.7451086954402,1,1,"full_before_split","split_separate"
38,"lars2",0.226603026918601,10.1828192536489,12.7490556762637,1,1,"full_before_split","split_separate"
39,"lasso",0.22571087816357,10.1885681114977,12.7539102848844,1,1,"full_before_split","split_separate"
40,"leapBackward",0.185108288231791,10.6012938424669,13.1507869768251,1,1,"full_before_split","split_separate"
41,"leapForward",0.185108288231791,10.6012938424669,13.1507869768251,1,1,"full_before_split","split_separate"
42,"leapSeq",0.185108288231791,10.6012938424669,13.1507869768251,1,1,"full_before_split","split_separate"
43,"lm",0.224144299679615,10.4090756108609,13.1827198918482,1,1,"full_before_split","split_separate"
44,"lmStepAIC",0.212713179549604,10.3852583038137,13.1391517092106,1,1,"full_before_split","split_separate"
45,"monmlp",0.290903571157222,9.9715291849336,12.4682953690952,1,1,"full_before_split","split_separate"
46,"msaenet",0.242650288313919,10.0882043601359,12.770872598441,1,1,"full_before_split","split_separate"
47,"nnls",0.176089420298512,10.5879989494501,13.141826190199,1,1,"full_before_split","split_separate"
48,"parRF",0.310609347157691,9.82158333333333,12.0227135471709,1,1,"full_before_split","split_separate"
49,"partDSA",0.106493659736079,11.1919619524406,13.7473098575324,1,1,"full_before_split","split_separate"
50,"pcr",0.100077003623814,11.428384492643,13.7165751222387,1,1,"full_before_split","split_separate"
51,"penalized",0.227903310141703,10.48550426059,12.865771504675,1,1,"full_before_split","split_separate"
52,"pls",0.252559911039945,9.89180476695351,12.5849506689667,1,1,"full_before_split","split_separate"
53,"plsRglm",0.274252428817356,9.8863631583146,12.5520097666551,1,1,"full_before_split","split_separate"
54,"ppr",0.222572434807598,11.1883312519786,13.9685134076003,1,1,"full_before_split","split_separate"
55,"qrf",0.313846116841451,9.656,11.9886613097543,1,1,"full_before_split","split_separate"
