"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"brnn",0.746345765782958,8.3689205933906,10.583829775735,1,1,"full_before_split","split_separate"
2,"brnn",0.738020996026884,8.65036112848799,11.0100169734199,2,1,"full_before_split","split_separate"
3,"brnn",0.803857494893492,7.01101102667466,9.44679994152491,3,1,"full_before_split","split_separate"
4,"brnn",0.756727570812232,8.13660807069818,10.6362376904491,4,1,"full_before_split","split_separate"
5,"brnn",0.760322472584299,7.70433272697213,10.2039792260485,5,1,"full_before_split","split_separate"
6,"brnn",0.804451005621128,7.48740624734777,9.68750201775503,6,1,"full_before_split","split_separate"
7,"brnn",0.755267646069957,7.6236394228751,10.1143891888204,7,1,"full_before_split","split_separate"
8,"brnn",0.687422668809102,9.08738031824442,12.3200929486528,8,1,"full_before_split","split_separate"
9,"brnn",0.698660687364913,9.01236777281401,11.7464105536627,9,1,"full_before_split","split_separate"
10,"brnn",0.692154243183994,8.97970153546166,11.9128012573108,10,1,"full_before_split","split_separate"
11,"brnn",0.707517520205855,9.02014727359408,11.6179376630041,11,1,"full_before_split","split_separate"
12,"brnn",0.741755291319587,8.16769204884314,11.0706302397571,12,1,"full_before_split","split_separate"
13,"brnn",0.792123848532532,7.65500612171846,9.59192231517206,13,1,"full_before_split","split_separate"
14,"brnn",0.741230877260044,7.80036000381238,10.749729901158,14,1,"full_before_split","split_separate"
15,"brnn",0.752726280878067,8.10537077930031,10.4299365790341,15,1,"full_before_split","split_separate"
16,"brnn",0.759285077792477,8.099994092881,10.1588720858672,16,1,"full_before_split","split_separate"
17,"brnn",0.764630232916045,8.09722436280864,10.5833527537218,17,1,"full_before_split","split_separate"
18,"brnn",0.760483151427242,8.18624174083807,10.6857114582351,18,1,"full_before_split","split_separate"
19,"brnn",0.760158301410628,7.89432494937124,10.1016199576946,19,1,"full_before_split","split_separate"
20,"brnn",0.793037374602056,7.80624004221933,9.83638722688572,20,1,"full_before_split","split_separate"
21,"brnn",0.716732109741728,8.24079889553986,11.4246618620723,21,1,"full_before_split","split_separate"
22,"brnn",0.773764211052661,7.94007989953821,9.94826476918995,22,1,"full_before_split","split_separate"
23,"brnn",0.79912125732275,7.0846938184685,9.19511970238522,23,1,"full_before_split","split_separate"
24,"brnn",0.75560404336487,8.19683100781467,10.4118202705842,24,1,"full_before_split","split_separate"
25,"brnn",0.761200131448337,7.67957189135281,10.0539153465977,25,1,"full_before_split","split_separate"
26,"brnn",0.746589351444393,8.29461112894069,10.6225214001458,26,1,"full_before_split","split_separate"
27,"brnn",0.723510037080799,8.09012344633588,10.7952700847422,27,1,"full_before_split","split_separate"
28,"brnn",0.741575303220971,7.95580746036272,10.5022498341013,28,1,"full_before_split","split_separate"
29,"brnn",0.752727132768203,7.82702542242688,10.1656661913209,29,1,"full_before_split","split_separate"
30,"brnn",0.742644237914559,8.45292357072802,11.1659425981961,30,1,"full_before_split","split_separate"
31,"brnn",0.743892848074907,7.75591542004503,10.0901625850494,31,1,"full_before_split","split_separate"
32,"brnn",0.694166590221749,9.01523548540772,11.8240487859356,32,1,"full_before_split","split_separate"
33,"brnn",0.754489950936221,8.08424879396349,10.5553462539174,33,1,"full_before_split","split_separate"
34,"brnn",0.708761851705203,9.19108283531823,11.4612668507092,34,1,"full_before_split","split_separate"
35,"brnn",0.739516839706189,7.7934121067391,10.4498211687396,35,1,"full_before_split","split_separate"
36,"brnn",0.725865776805607,8.90724676914548,10.9936754726888,36,1,"full_before_split","split_separate"
37,"brnn",0.791968843109098,8.01425062206062,10.0176612443916,37,1,"full_before_split","split_separate"
38,"brnn",0.77094067041542,7.69779438194085,10.0950568576926,38,1,"full_before_split","split_separate"
39,"brnn",0.764816633121113,8.04585511015027,9.99879176067673,39,1,"full_before_split","split_separate"
40,"brnn",0.738565622633383,8.04076493287858,10.9566715458721,40,1,"full_before_split","split_separate"
41,"brnn",0.739344435984703,8.34662642482056,10.9380438470038,41,1,"full_before_split","split_separate"
42,"brnn",0.697084868819003,8.55354833385199,11.4052662142787,42,1,"full_before_split","split_separate"
43,"brnn",0.71117964395546,8.40177071681766,11.4730317772093,43,1,"full_before_split","split_separate"
44,"brnn",0.707167774699901,8.34390398546769,11.0236309988009,44,1,"full_before_split","split_separate"
45,"brnn",0.744178659847435,8.39219387714809,10.5508852166129,45,1,"full_before_split","split_separate"
