"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"gamboost",0.813237728354111,6.65425250302624,8.96815424062484,1,1,"full_before_split","split_separate"
2,"gamboost",0.819153601126343,7.03108590216882,8.97935655850266,2,1,"full_before_split","split_separate"
3,"gamboost",0.852540941612241,6.33491836476814,8.23966371245042,3,1,"full_before_split","split_separate"
4,"gamboost",0.802851865044747,7.11377220434554,9.56235810134374,4,1,"full_before_split","split_separate"
5,"gamboost",0.838140006521576,6.40793694978372,8.38103215899401,5,1,"full_before_split","split_separate"
6,"gamboost",0.852764862679458,6.24235106665537,8.36248769727253,6,1,"full_before_split","split_separate"
7,"gamboost",0.823447394292367,6.44025318369683,8.55271683457136,7,1,"full_before_split","split_separate"
8,"gamboost",0.825396857213044,6.72694781967339,9.37449490548311,8,1,"full_before_split","split_separate"
9,"gamboost",0.793433914357656,7.25374863685,9.79528133984794,9,1,"full_before_split","split_separate"
10,"gamboost",0.764143798058222,7.65906078469228,10.4147752389763,10,1,"full_before_split","split_separate"
11,"gamboost",0.813008948109647,6.81713053039884,9.26590871646897,11,1,"full_before_split","split_separate"
12,"gamboost",0.817020601900359,6.90804429074645,9.22140478323331,12,1,"full_before_split","split_separate"
13,"gamboost",0.805791192953679,7.17458542912421,9.27093255051694,13,1,"full_before_split","split_separate"
14,"gamboost",0.762351625598957,7.53038731824981,10.2856203561701,14,1,"full_before_split","split_separate"
15,"gamboost",0.822556650938308,6.69169815818756,8.86451731064988,15,1,"full_before_split","split_separate"
16,"gamboost",0.815722670223578,6.71018128550854,8.90665372040709,16,1,"full_before_split","split_separate"
17,"gamboost",0.813496554813219,7.15807191269522,9.48304412982906,17,1,"full_before_split","split_separate"
18,"gamboost",0.839572114826969,6.52839096657239,8.50803899715019,18,1,"full_before_split","split_separate"
19,"gamboost",0.837822841263517,6.26312387007081,8.21013427843302,19,1,"full_before_split","split_separate"
20,"gamboost",0.84135918351795,6.58802832895651,8.71161620993889,20,1,"full_before_split","split_separate"
21,"gamboost",0.790319365513275,7.49936930739107,9.82622247965898,21,1,"full_before_split","split_separate"
22,"gamboost",0.811421611309807,7.07088376002658,9.10020724164946,22,1,"full_before_split","split_separate"
23,"gamboost",0.838153908025301,6.3554468803234,8.32960571177736,23,1,"full_before_split","split_separate"
24,"gamboost",0.81728093685846,6.70731994220184,9.02570042055972,24,1,"full_before_split","split_separate"
25,"gamboost",0.848271956592168,6.2792181799272,8.00887103634874,25,1,"full_before_split","split_separate"
26,"gamboost",0.815988105736741,6.76867819385472,9.04142716487013,26,1,"full_before_split","split_separate"
27,"gamboost",0.844343772418874,6.01523407201945,8.08586556095322,27,1,"full_before_split","split_separate"
28,"gamboost",0.792844334110951,6.85800576495412,9.4111145992222,28,1,"full_before_split","split_separate"
29,"gamboost",0.83250328854605,6.53817268598084,8.44921625617981,29,1,"full_before_split","split_separate"
30,"gamboost",0.838169663197741,6.65588806760708,8.82341998278313,30,1,"full_before_split","split_separate"
31,"gamboost",0.850228330414658,5.81410111810522,7.72137557727536,31,1,"full_before_split","split_separate"
32,"gamboost",0.8093134669542,7.13258138956278,9.37938504709145,32,1,"full_before_split","split_separate"
33,"gamboost",0.832171073855909,6.57441620988115,8.76578227661463,33,1,"full_before_split","split_separate"
34,"gamboost",0.858512229488595,6.37328950612728,8.18070399527454,34,1,"full_before_split","split_separate"
35,"gamboost",0.809817520970994,6.60050646649731,8.89044444639315,35,1,"full_before_split","split_separate"
36,"gamboost",0.835486650558653,6.45779065956173,8.40326570371046,36,1,"full_before_split","split_separate"
37,"gamboost",0.848958507048545,6.38950484089237,8.43585033805513,37,1,"full_before_split","split_separate"
38,"gamboost",0.834563168025648,6.28061535807501,8.56149228974788,38,1,"full_before_split","split_separate"
39,"gamboost",0.833803067179053,6.66569328768983,8.40377224759334,39,1,"full_before_split","split_separate"
40,"gamboost",0.823095047627913,6.70395270867274,9.04678283000783,40,1,"full_before_split","split_separate"
41,"gamboost",0.863333803645661,6.1842708092271,7.89199689795009,41,1,"full_before_split","split_separate"
42,"gamboost",0.831725558334515,6.4522246410762,8.56189777408565,42,1,"full_before_split","split_separate"
43,"gamboost",0.785916730429772,7.3720859479237,9.81537580180654,43,1,"full_before_split","split_separate"
44,"gamboost",0.805605519143569,7.04189343744912,8.93092717697992,44,1,"full_before_split","split_separate"
45,"gamboost",0.813820257800954,6.98746459738252,8.98137925349063,45,1,"full_before_split","split_separate"
46,"gamboost",0.840595896818628,6.41457025470841,8.23656001556763,46,1,"full_before_split","split_separate"
47,"gamboost",0.835468387565404,6.11083293087731,8.32829166165154,47,1,"full_before_split","split_separate"
48,"gamboost",0.84981713567542,6.3646959617628,8.14030015743713,48,1,"full_before_split","split_separate"
49,"gamboost",0.814696153432205,7.20639503932697,9.41674794772579,49,1,"full_before_split","split_separate"
50,"gamboost",0.81426915589271,6.79190213309179,9.2713419851091,50,1,"full_before_split","split_separate"
51,"gamboost",0.828642806701706,6.57926850175285,8.64312665132715,51,1,"full_before_split","split_separate"
52,"gamboost",0.828854960636008,6.70546393259094,8.69401376363011,52,1,"full_before_split","split_separate"
53,"gamboost",0.826473060767102,6.9936417065716,8.96667551116695,53,1,"full_before_split","split_separate"
54,"gamboost",0.829174764705634,6.5120649315735,8.83624955434753,54,1,"full_before_split","split_separate"
55,"gamboost",0.792710757939412,6.74694854477565,9.57803741724733,55,1,"full_before_split","split_separate"
56,"gamboost",0.841129870263967,6.41505271986127,8.20629115750392,56,1,"full_before_split","split_separate"
57,"gamboost",0.829385638578929,6.84794147643162,8.75854015892016,57,1,"full_before_split","split_separate"
58,"gamboost",0.819485313834761,6.97261003480317,9.00201116049229,58,1,"full_before_split","split_separate"
59,"gamboost",0.864309766833434,5.89519630907647,7.87370191192743,59,1,"full_before_split","split_separate"
60,"gamboost",0.808405823621424,7.28479850256075,9.55402089315342,60,1,"full_before_split","split_separate"
61,"gamboost",0.864062824970817,5.95940311640943,7.65809397449871,61,1,"full_before_split","split_separate"
62,"gamboost",0.829525014483731,6.47514593754468,8.6788039193623,62,1,"full_before_split","split_separate"
63,"gamboost",0.843129595546558,5.84538610640001,8.22722837622833,63,1,"full_before_split","split_separate"
64,"gamboost",0.829049702293452,6.09100167674982,8.55213215006883,64,1,"full_before_split","split_separate"
65,"gamboost",0.832199022083521,6.70073978668363,8.54192187376158,65,1,"full_before_split","split_separate"
66,"gamboost",0.796644933756961,7.43971734732653,9.70683454599253,66,1,"full_before_split","split_separate"
67,"gamboost",0.873486140199223,5.84549551694233,7.62791170009195,67,1,"full_before_split","split_separate"
68,"gamboost",0.779185233175886,7.09347479338949,9.64733357160405,68,1,"full_before_split","split_separate"
69,"gamboost",0.85281641365495,6.06501565419698,7.93903073687582,69,1,"full_before_split","split_separate"
70,"gamboost",0.8061959327586,6.91825401615188,9.17360388011849,70,1,"full_before_split","split_separate"
71,"gamboost",0.795158291907199,6.90465222349388,9.62768454244,71,1,"full_before_split","split_separate"
72,"gamboost",0.827771120766017,6.695925681551,8.6378376862495,72,1,"full_before_split","split_separate"
73,"gamboost",0.858344320712849,6.07121600247574,7.83920647451968,73,1,"full_before_split","split_separate"
74,"gamboost",0.797505795854792,7.3851930966456,9.34351736358666,74,1,"full_before_split","split_separate"
75,"gamboost",0.834242937867725,6.51016848413515,8.69283913912161,75,1,"full_before_split","split_separate"
76,"gamboost",0.781029643276324,7.6493239021168,9.96028343616269,76,1,"full_before_split","split_separate"
77,"gamboost",0.771600216306677,7.54062961991948,9.67179932021167,77,1,"full_before_split","split_separate"
78,"gamboost",0.80274989803025,7.11903229875903,9.0612797251657,78,1,"full_before_split","split_separate"
79,"gamboost",0.779128745534743,6.85693631501962,9.3271995689154,79,1,"full_before_split","split_separate"
80,"gamboost",0.821628900080781,6.6383485219114,8.69144338493794,80,1,"full_before_split","split_separate"
81,"gamboost",0.822938471691363,6.97997497485998,8.859800306203,81,1,"full_before_split","split_separate"
82,"gamboost",0.772925128473675,7.44014182896242,10.2156376508376,82,1,"full_before_split","split_separate"
83,"gamboost",0.816757113926059,6.93241568620529,9.26682699327352,83,1,"full_before_split","split_separate"
84,"gamboost",0.782569110308414,7.46944423394493,9.82730548258298,84,1,"full_before_split","split_separate"
85,"gamboost",0.839001211490792,6.62674213888211,8.51114389441288,85,1,"full_before_split","split_separate"
86,"gamboost",0.8150236635374,6.55509421002847,8.81692474103077,86,1,"full_before_split","split_separate"
87,"gamboost",0.808716836366754,6.59492500665314,9.09156547153932,87,1,"full_before_split","split_separate"
88,"gamboost",0.786596515438056,7.63448865794809,10.0383194628322,88,1,"full_before_split","split_separate"
89,"gamboost",0.85007134541193,6.24535176595404,8.20604791516316,89,1,"full_before_split","split_separate"
90,"gamboost",0.806739565518761,6.64070637050394,9.12075585961376,90,1,"full_before_split","split_separate"
91,"gamboost",0.83452678446868,6.23701259977891,8.32069671901555,91,1,"full_before_split","split_separate"
92,"gamboost",0.826358287385438,6.90452361721663,9.17939383261455,92,1,"full_before_split","split_separate"
