"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
1,"svmRadialSigma",0.000513227358574552,17.4028686687477,20.7948831337918,1,1,"full_before_split","split_separate"
2,"svmRadialSigma",0.0128643412354318,17.6112224641001,20.4429113334576,2,1,"full_before_split","split_separate"
3,"svmRadialSigma",0.00424743634060989,17.3061094434094,20.7546801973421,3,1,"full_before_split","split_separate"
4,"svmRadialSigma",2.35386022212763e-06,18.4765180694821,21.4888058006746,4,1,"full_before_split","split_separate"
5,"svmRadialSigma",0.0109475479118781,17.6606615616305,20.9902551274388,5,1,"full_before_split","split_separate"
6,"svmRadialSigma",0.00031694596416934,17.1897532375231,20.651939492711,6,1,"full_before_split","split_separate"
7,"svmRadialSigma",0.00131578226315172,18.5786449197827,21.743463903491,7,1,"full_before_split","split_separate"
8,"svmRadialSigma",0.0307445598599778,17.5430858293846,20.5778412966102,8,1,"full_before_split","split_separate"
9,"svmRadialSigma",0.00799247150572569,17.6668293449628,20.8958521338698,9,1,"full_before_split","split_separate"
10,"svmRadialSigma",3.30120127984476e-05,18.9264667856137,22.0532036311106,10,1,"full_before_split","split_separate"
11,"svmRadialSigma",0.000146028053917104,17.6374659285608,21.0417274226393,11,1,"full_before_split","split_separate"
12,"svmRadialSigma",0.00192546331489308,17.9111591305604,20.9627133941869,12,1,"full_before_split","split_separate"
13,"svmRadialSigma",0.0248089939824375,17.2702417312936,20.6598791122645,13,1,"full_before_split","split_separate"
14,"svmRadialSigma",0.00155793195193159,18.2062284427781,21.3793214912185,14,1,"full_before_split","split_separate"
15,"svmRadialSigma",0.0121620222313957,17.3379138078691,20.520755595223,15,1,"full_before_split","split_separate"
16,"svmRadialSigma",0.00595954041104056,17.5595696230679,20.9684992519953,16,1,"full_before_split","split_separate"
17,"svmRadialSigma",3.88931566445445e-05,18.3736708136401,21.7479384986493,17,1,"full_before_split","split_separate"
18,"svmRadialSigma",0.00361422050801835,16.9533286058134,20.2680806385067,18,1,"full_before_split","split_separate"
