"","age","cg00532451","cg00311303","cg12209313","cg22942751","cg20630560","cg27264894","cg21543434","cg22370694","cg03981727","cg00251125","cg26037170","cg04140596","cg21683105","cg18159850","cg04843660","cg01816880","cg25622855","cg17745433","cg23630430","cg07600278","cg02268584","cg19746567","cg00901843","cg07382039","cg01765600","cg09853570","cg13107669","cg18494421","cg07922933","cg20775370","cg27394460","cg14661383","cg18857768","cg15618533","cg22850968","cg26940100","cg10770726","cg08621574","cg02281446","cg18329175","cg18261877","cg08794084","cg17602777","cg26273958","cg01084386","cg25222493","cg03054277","cg04850211","cg06190406","cg19401519","cg18477163","cg04924099","cg07198402","cg06637001","cg08262088","cg04193160","cg09636459","cg05794117","cg05844789","cg19789505","cg05706189","cg11852843","cg21407117","cg09411356","cg23644589"
"GSM989827",67,0.9926183,0.8616875,0.9057471,0.8637653,0.6531921,0.8649738,0.8360617,0.3196753,0.9924001,0.4120355,0.99108,0.7723592,0.8216065,0.00270521,0.7732524,0.823635,0.6193159,0.9390444,0.8349778,0.8402738,0.8611386,0.9225424,0.7899578,0.7733086,0.6629055,0.9252074,0.8240916,0.8572057,0.7679427,0.8748893,0.7318336,0.0400086,0.874465,0.8841237,0.9890418,0.8049921,0.8715764,0.7857159,0.9863314,0.480778,0.8581651,0.8288072,0.80777,0.9680398,0.06408227,0.922402,0.8833832,0.5019165,0.9114169,0.7723507,0.6481936,0.8136722,0.8203248,0.01646379,0.872577,0.4720991,0.8156381,0.8068207,0.505151,0.7309141,0.9546404,0.8068638,0.7484543,0.8009682,0.9184049
"GSM989828",89,0.9883572,0.8791862,0.920271,0.8635045,0.6570197,0.878462,0.8687046,0.2807477,0.9792521,0.3799869,0.9953898,0.7952692,0.8083508,0.0003323396,0.7964768,0.7965328,0.5754532,0.9495805,0.8104945,0.8309199,0.8693871,0.9118628,0.7690798,0.7734122,0.6525475,0.9100086,0.8096671,0.8527892,0.796685,0.8466968,0.7341623,0.05464888,0.8593366,0.9295271,0.98564,0.6189821,0.8904171,0.8308567,0.9912719,0.4542472,0.8774083,0.8442253,0.8345876,0.9785168,0.06354063,0.8911391,0.9609035,0.4348204,0.9074876,0.7611374,0.5744847,0.8375406,0.7971295,0.02117321,0.8683363,0.4830453,0.804159,0.7708463,0.4445886,0.6943837,0.9547481,0.8253365,0.7765518,0.6841453,0.9302649
"GSM989829",66,0.9898714,0.879555,0.9149463,0.8566999,0.7271728,0.8611025,0.8378691,0.3592795,0.9833298,0.4488974,0.9964383,0.7942773,0.8191089,0,0.7771763,0.8011644,0.6015831,0.9410238,0.8085702,0.8453892,0.8682674,0.8985592,0.7704231,0.7743948,0.6543563,0.9190127,0.8163269,0.8644537,0.7458956,0.8575571,0.7367082,0.04068453,0.8670172,0.9105298,0.9662312,0.7977458,0.897897,0.8108843,0.9864727,0.5731528,0.868707,0.8081433,0.8088008,0.9731989,0.067745,0.9007306,0.9043626,0.7392065,0.9019965,0.7791118,0.2161535,0.7990977,0.8718545,0.01786714,0.8674598,0.5216954,0.7994113,0.8934753,0.6498527,0.7580062,0.9604984,0.8015159,0.7421703,0.7942477,0.9195557
"GSM989830",64,0.9840887,0.8784827,0.9242634,0.8584849,0.7417014,0.8618602,0.8288178,0.4026571,0.9824828,0.4755921,0.9915918,0.788684,0.809082,0,0.7607371,0.7995399,0.6013662,0.9385158,0.7988556,0.8502797,0.8671332,0.9013132,0.7791885,0.7835329,0.6645576,0.9211456,0.8214166,0.8688701,0.7555695,0.8352908,0.7019977,0.04307956,0.8543729,0.9131845,0.982298,0.8713327,0.8760251,0.8101904,0.995592,0.5629406,0.8525814,0.8359476,0.8161513,0.983192,0.06794085,0.9225536,0.8412265,0.4311953,0.891009,0.77974,0.4010748,0.8090678,0.8114925,0.01590757,0.8592415,0.4439662,0.798025,0.8700165,0.4884285,0.823324,0.9366613,0.7986606,0.7551495,0.7631915,0.9068662
"GSM989831",62,0.9972898,0.8883922,0.9073536,0.8532799,0.7130208,0.8591761,0.8548207,0.3662287,0.9839904,0.4675974,0.9944133,0.809103,0.7896681,0,0.7837736,0.7633716,0.6060427,0.9329541,0.8344171,0.8028821,0.8717724,0.9008848,0.7727191,0.7511972,0.6915565,0.9132522,0.8108031,0.8580589,0.7696496,0.8557341,0.7306695,0.04570758,0.8237637,0.9122652,0.98694,0.8273963,0.885075,0.7904738,0.9910718,0.5413815,0.8471576,0.838165,0.8330162,0.9753219,0.07432383,0.9143916,0.9182802,0.5628742,0.9031149,0.7722389,0.4490454,0.7956977,0.8483859,0.01622485,0.8523477,0.5554768,0.7664323,0.8467653,0.5547448,0.7691614,0.9625726,0.8054822,0.754921,0.8053566,0.915764
"GSM989832",87,0.9839063,0.8938001,0.9250473,0.8756633,0.7856967,0.8886332,0.8559007,0.4157475,0.9775193,0.3756769,0.9947844,0.7901617,0.8474601,0.002285279,0.7715762,0.8054965,0.6398281,0.9704269,0.8021091,0.8337272,0.8735813,0.9235691,0.7758741,0.7889609,0.6666768,0.9159022,0.7857497,0.8841366,0.6469812,0.8576086,0.5458705,0.0327119,0.8630149,0.9091287,0.9893317,0.8981593,0.8953756,0.778937,0.9898074,0.5566168,0.8926107,0.8351173,0.8313403,0.9853666,0.06002068,0.9205726,0.8811862,0.7702198,0.8987114,0.784932,0.4323144,0.7960625,0.8368741,0.0261529,0.9064848,0.4847166,0.8018607,0.8284969,0.660001,0.786373,0.9696184,0.7521401,0.7201491,0.8921606,0.9180032
"GSM989833",73,0.9902478,0.8843249,0.9132696,0.860725,0.7492549,0.856335,0.8263277,0.3391652,0.995002,0.466892,0.9898782,0.7891941,0.8292409,0,0.7878848,0.7901415,0.6195865,0.951865,0.8297567,0.846885,0.8607182,0.9054408,0.7754063,0.7842028,0.6825922,0.9167347,0.8103293,0.8720836,0.7580606,0.8699803,0.7347293,0.04969538,0.871524,0.8882226,0.9812802,0.8789335,0.8657961,0.8217225,0.9890259,0.5401047,0.8462853,0.8251305,0.8164833,0.992055,0.06309871,0.9251219,0.9224926,0.604443,0.887292,0.7702159,0.191609,0.7964313,0.8160293,0.009775906,0.8681838,0.531333,0.7964469,0.8598628,0.563413,0.8055341,0.9236355,0.8079171,0.7395242,0.7816177,0.9186686
"GSM989834",75,0.9920939,0.8969737,0.9028394,0.844708,0.6855268,0.8865054,0.8432173,0.4051172,0.9833219,0.4577381,0.9918049,0.7731625,0.8239613,0,0.7749596,0.7883377,0.6236155,0.9435123,0.8202924,0.8323425,0.8902746,0.9146814,0.7679696,0.7750556,0.6662499,0.9114037,0.7802836,0.8647074,0.7538565,0.8631294,0.6859264,0.0555272,0.8664849,0.9087402,0.9836093,0.8548731,0.875743,0.8168665,0.9929913,0.4904844,0.8680198,0.8407599,0.8157816,0.971189,0.06111841,0.9365416,0.9457295,0.31209,0.8763558,0.7498344,0.586812,0.7989817,0.7961766,0.01334713,0.8788482,0.5108659,0.7940887,0.8307933,0.4312566,0.7643242,0.9458045,0.8140933,0.7461758,0.8450569,0.9158409
"GSM989835",73,0.9908758,0.8908475,0.9194417,0.8851137,0.6612982,0.8823599,0.8491315,0.322234,0.9888127,0.4389327,0.9881511,0.7700694,0.8415183,0,0.7885976,0.8019114,0.6134902,0.944314,0.8120448,0.8403652,0.8782226,0.929781,0.7794499,0.8018978,0.6795084,0.9291438,0.8087887,0.8693545,0.7385094,0.879012,0.7606571,0.0468706,0.8644924,0.9103862,0.9833639,0.8400534,0.8754067,0.8190714,0.9954076,0.5073167,0.8724675,0.8402133,0.8161866,0.9828491,0.06737945,0.9189345,0.8646136,0.6663017,0.903398,0.7632844,0.5888754,0.8197269,0.8476786,0.02362225,0.8692226,0.4590656,0.8252879,0.8683068,0.6132886,0.8014265,0.9642728,0.8143126,0.7662957,0.7810526,0.9150426
"GSM989836",83,0.9901611,0.8757772,0.913825,0.8178775,0.7494087,0.8467981,0.8517141,0.3331009,0.9770229,0.3562648,0.9939027,0.7532322,0.7321101,0.0137587,0.7872719,0.8278571,0.5974064,0.947087,0.798961,0.84525,0.8824054,0.8942199,0.7388103,0.6504229,0.6399063,0.9161413,0.8091636,0.8865708,0.6827869,0.8555086,0.7376922,0.05864736,0.8793546,0.8654637,0.9826713,0.811135,0.8766331,0.7670881,0.9876596,0.4823862,0.8579702,0.8331835,0.8146319,0.9783885,0.07881139,0.9171711,0.885361,0.4193921,0.917587,0.7730278,0.3578335,0.8164039,0.7938818,0.0363262,0.8687437,0.505153,0.7343785,0.7898058,0.4940242,0.6590771,0.9683174,0.8119063,0.7551067,0.6944448,0.9153816
