sample,sex,age,cg24488810,cg14143632,cg03481131,cg00305629,cg14144550,cg14143589,cg04759982,cg06203259,cg13657200,cg10172884,cg19478228,cg20014432,cg14144583,cg00944626,cg21159778,cg12877860
GSM2333901,0,72,,,,0.82605500,,,0.40683630,,0.58976482,,,,,,0.21731597,0.74781939
GSM2333902,0,55,,,,0.83815572,,,0.42042131,,0.64150580,,,,,,0.08418162,0.76030307
GSM2333903,0,23,,,,0.90036920,,,0.40595402,,0.68431629,,,,,,0.02658788,0.71150714
GSM2333904,0,86,,,,0.76433623,,,0.35653828,,0.51401703,,,,,,0.28688158,0.75473257
GSM2333905,0,74,,,,0.81218949,,,0.40807555,,0.56525920,,,,,,0.23862633,0.74140741
GSM2333906,1,76,,,,0.66625484,,,0.39859422,,0.47237375,,,,,,0.15154767,0.68616295
GSM2333907,0,18,,,,0.84186550,,,0.35248382,,0.64884783,,,,,,0.02409009,0.74254731
GSM2333908,0,38,,,,0.78078469,,,0.35480738,,0.58617399,,,,,,0.03035678,0.64146724
GSM2333909,1,33,,,,0.75436663,,,0.41375178,,0.54368903,,,,,,0.16543405,0.71611718
GSM2333910,1,34,,,,0.79332838,,,0.36942124,,0.59602879,,,,,,0.03520670,0.68993171
GSM2333911,1,86,,,,0.77404494,,,0.36337162,,0.52306250,,,,,,0.29845375,0.75331398
GSM2333912,1,18,,,,0.83307699,,,0.35328817,,0.64497748,,,,,,0.01881306,0.68480229
GSM2333913,0,65,,,,0.81107740,,,0.41709558,,0.59048689,,,,,,0.10712652,0.72517348
GSM2333914,0,55,,,,0.74322058,,,0.41860975,,0.56957544,,,,,,0.17148297,0.72734819
GSM2333915,1,65,,,,0.80650745,,,0.38239856,,0.62562111,,,,,,0.05710909,0.70502705
GSM2333916,0,59,,,,0.79949001,,,0.42361519,,0.57467266,,,,,,0.15034440,0.70935875
GSM2333917,1,80,,,,0.77582070,,,0.40924489,,0.55239404,,,,,,0.24059702,0.78704829
GSM2333918,0,60,,,,0.72386284,,,0.46371377,,0.53912299,,,,,,0.13332260,0.72324774
GSM2333919,1,55,,,,0.80567166,,,0.39100838,,0.63661956,,,,,,0.19489673,0.77544653
GSM2333920,0,63,,,,0.80158532,,,0.38668931,,0.55557221,,,,,,0.15017711,0.77729487
GSM2333921,0,29,,,,0.81623017,,,0.40965409,,0.63839187,,,,,,0.04174956,0.73781917
GSM2333922,1,68,,,,0.75837225,,,0.39273693,,0.56843469,,,,,,0.07803404,0.68803723
GSM2333923,0,22,,,,0.80309190,,,0.37456324,,0.65782830,,,,,,0.03393915,0.66989034
GSM2333924,1,16,,,,0.82741299,,,0.39904888,,0.65236705,,,,,,0.01595036,0.70204455
GSM2333925,1,75,,,,0.73644681,,,0.40895264,,0.55202556,,,,,,0.28821664,0.75728774
GSM2333926,0,16,,,,0.85524400,,,0.38529893,,0.65931689,,,,,,0.01964413,0.66321999
GSM2333927,1,74,,,,0.69411966,,,0.36889621,,0.51740243,,,,,,0.15522101,0.72207820
GSM2333928,1,63,,,,0.74299866,,,0.34958564,,0.53308912,,,,,,0.31409511,0.77221176
GSM2333929,1,38,,,,0.84855252,,,0.36516740,,0.64014607,,,,,,0.12266093,0.78021143
GSM2333930,1,64,,,,0.75843813,,,0.42099516,,0.54555997,,,,,,0.11377197,0.72918656
GSM2333931,1,68,,,,0.68003618,,,0.40394102,,0.55183568,,,,,,0.13688704,0.76620802
GSM2333932,1,45,,,,0.85998720,,,0.39176134,,0.63993021,,,,,,0.07449394,0.79350995
GSM2333933,0,80,,,,0.62528004,,,0.38408435,,0.44689615,,,,,,0.30374549,0.76998760
GSM2333934,1,46,,,,0.83185099,,,0.36360713,,0.58647842,,,,,,0.16520743,0.74503418
GSM2333935,0,82,,,,0.70432121,,,0.36136336,,0.48063808,,,,,,0.12732136,0.75672244
GSM2333936,1,58,,,,0.78417745,,,0.36469614,,0.57023652,,,,,,0.10537103,0.71704438
GSM2333937,1,69,,,,0.60768526,,,0.40945741,,0.43885594,,,,,,0.07834089,0.68574709
GSM2333938,1,23,,,,0.84808645,,,0.38180796,,0.61807520,,,,,,0.04781114,0.74146628
GSM2333939,1,59,,,,0.83843348,,,0.38330212,,0.64125073,,,,,,0.16369223,0.74063861
GSM2333940,0,79,,,,0.71953599,,,0.37796729,,0.49036923,,,,,,0.14237817,0.74505084
GSM2333941,0,66,,,,0.82374324,,,0.34984977,,0.61316408,,,,,,0.11290770,0.77039297
GSM2333942,1,71,,,,0.69196382,,,0.38648606,,0.47864497,,,,,,0.11087463,0.71326592
GSM2333943,1,55,,,,0.81031082,,,0.41378671,,0.62939686,,,,,,0.18227395,0.79023228
GSM2333944,0,62,,,,0.72423138,,,0.39600199,,0.52478375,,,,,,0.08914996,0.65339398
GSM2333945,1,57,,,,0.81061412,,,0.38335244,,0.56979137,,,,,,0.11467486,0.70415601
GSM2333946,1,50,,,,0.85734968,,,0.36348472,,0.65116002,,,,,,0.19590490,0.79689406
GSM2333947,0,48,,,,0.88876646,,,0.37206687,,0.62687135,,,,,,0.11101226,0.73987269
GSM2333948,0,39,,,,0.85317162,,,0.38998456,,0.62201503,,,,,,0.06640050,0.76427101
GSM2333949,1,81,,,,0.79704946,,,0.40365518,,0.57269380,,,,,,0.22448664,0.72875551
GSM2333950,0,81,,,,0.73172904,,,0.43479168,,0.52198273,,,,,,0.39846463,0.80856675
GSM2333951,1,91,,,,0.81215493,,,0.38323878,,0.55199715,,,,,,0.21641791,0.74548525
GSM2333952,1,15,,,,0.90316143,,,0.40424131,,0.69549282,,,,,,0.03053874,0.77998172
GSM2333953,1,57,,,,0.80798691,,,0.37244976,,0.60704107,,,,,,0.20278310,0.78957819
GSM2333954,1,45,,,,0.86613658,,,0.39777866,,0.63783023,,,,,,0.14857775,0.78509061
GSM2333955,0,45,,,,0.81775058,,,0.37129110,,0.60367188,,,,,,0.07057476,0.69219905
GSM2333956,0,28,,,,0.77451140,,,0.42339534,,0.55557150,,,,,,0.06114102,0.70420518
GSM2333957,1,37,,,,0.84509542,,,0.36970992,,0.63907265,,,,,,0.09202949,0.71278307
GSM2333958,0,69,,,,0.81441371,,,0.41690704,,0.63423452,,,,,,0.18688605,0.73135915
GSM2333959,0,25,,,,0.85851892,,,0.39360598,,0.62780870,,,,,,0.02317524,0.69314611
GSM2333960,1,66,,,,0.75343369,,,0.40420219,,0.54774042,,,,,,0.08202150,0.73909228
GSM2333961,1,22,,,,0.69672423,,,0.40548349,,0.55238487,,,,,,0.02373747,0.67177622
GSM2333962,0,23,,,,0.81442298,,,0.38482914,,0.59719102,,,,,,0.04147034,0.73816855
GSM2333963,0,17,,,,0.76901102,,,0.41890824,,0.63667312,,,,,,0.04643197,0.69008645
GSM2333964,0,17,,,,0.82302923,,,0.38002410,,0.63359767,,,,,,0.02563918,0.69602877
GSM2333965,0,21,,,,0.83949838,,,0.36647212,,0.65527499,,,,,,0.03080677,0.70371575
GSM2333966,0,82,,,,0.81491325,,,0.31740507,,0.55672686,,,,,,0.05697301,0.66297335
GSM2333967,1,62,,,,0.81116621,,,0.38231739,,0.59427563,,,,,,0.11394425,0.73316769
GSM2333968,0,68,,,,0.61961334,,,0.48882340,,0.49497868,,,,,,0.14326362,0.72090577
GSM2333969,0,45,,,,0.77113092,,,0.39870798,,0.57001084,,,,,,0.13461553,0.73426433
GSM2333970,0,42,,,,0.77125584,,,0.37863138,,0.58394281,,,,,,0.05117941,0.70804543
GSM2333971,0,68,,,,0.74371305,,,0.38415088,,0.52352317,,,,,,0.08512179,0.67008304
GSM2333972,1,40,,,,0.83778522,,,0.34810297,,0.60956196,,,,,,0.03919121,0.72017467
GSM2333973,0,44,,,,0.79609999,,,0.34355603,,0.56964729,,,,,,0.12978718,0.73356903
GSM2333974,1,22,,,,0.86535984,,,0.38405783,,0.65180594,,,,,,0.02022569,0.71703822
GSM2333975,0,23,,,,0.79289630,,,0.36941229,,0.66204133,,,,,,0.01801173,0.71433438
