"","age","cg03816707","cg24283270","cg06193004","cg09797971","cg07589968","cg09028204","cg25353142","cg05203217","cg27634724","cg19702785","cg22866937","cg06288351"
"GSM989827",67,0.1504955,0.8935059,0.176372,0.9420694,0.4127617,0.06719808,0.2030489,0.8849078,0.1416961,0.197374,0.7241938,0.3189101
"GSM989828",89,0.2241017,0.9131564,0.1291653,0.9372958,0.3435356,0.03275871,0.1378948,0.8099288,0.1040863,0.2422979,0.6920375,0.2543193
"GSM989829",66,0.1669675,0.9110011,0.1733589,0.9415505,0.4054212,0.09926406,0.2057352,0.8624362,0.1575937,0.2203309,0.7382231,0.3215134
"GSM989830",64,0.1628368,0.900355,0.1520466,0.9413504,0.383707,0.06204263,0.1861362,0.8619708,0.1436966,0.2111208,0.7360801,0.3018672
"GSM989831",62,0.203308,0.9126863,0.1776053,0.9384282,0.4120637,0.06491797,0.198451,0.8840435,0.1354855,0.2089915,0.7213878,0.3176225
"GSM989832",87,0.2528487,0.9189823,0.2152091,0.9326369,0.4644919,0.2139649,0.2913234,0.8652773,0.2296642,0.2674087,0.69294,0.3476142
"GSM989833",73,0.3185213,0.9130472,0.1819027,0.9259519,0.3985994,0.08981943,0.2111455,0.8663309,0.1445025,0.2164734,0.7393845,0.3240981
"GSM989834",75,0.1683163,0.8858637,0.1842689,0.9400242,0.4027013,0.04967414,0.1965145,0.857789,0.1361482,0.2206759,0.7169715,0.3161924
"GSM989835",73,0.1461956,0.8942908,0.1640277,0.932492,0.4130068,0.09777749,0.2012743,0.8452814,0.1427819,0.2229669,0.7127697,0.3084218
"GSM989836",83,0.1580918,0.8556178,0.1424792,0.8930379,0.4227423,0.08301234,0.1670159,0.8504013,0.1199068,0.2680311,0.5836095,0.3155581
"GSM989837",82,0.1160668,0.9146839,0.1556629,0.9135051,0.3697219,0.0784118,0.1940977,0.8439637,0.1341476,0.2667267,0.7078889,0.2612862
"GSM989838",48,0.1483471,0.9171109,0.1845184,0.9279881,0.4368347,0.1236581,0.217079,0.8797106,0.1674093,0.1985705,0.6742407,0.3376477
"GSM989839",77,0.2668,0.8918235,0.2122922,0.9339439,0.437939,0.2182529,0.2527674,0.8817347,0.2063348,0.2756201,0.7315125,0.3289689
"GSM989840",54,0.1009853,0.9053785,0.1659622,0.9226156,0.4120687,0.09630138,0.2200953,0.8721898,0.1530645,0.2080786,0.7543476,0.3100194
"GSM989841",63,0.1622004,0.9014616,0.2026998,0.9324096,0.4142839,0.08601277,0.2135853,0.8929432,0.1532102,0.218079,0.6884435,0.3380265
"GSM989842",71,0.171335,0.9044129,0.1569013,0.9412709,0.3939669,0.07541506,0.1823414,0.8802553,0.1376829,0.2431226,0.7472525,0.2984591
"GSM989843",68,0.2083535,0.9056034,0.1935338,0.9397367,0.433369,0.1728112,0.2290855,0.8632136,0.1837415,0.2361524,0.7457967,0.3441875
"GSM989844",80,0.1007938,0.9131061,0.1422691,0.9350505,0.3906582,0.03101992,0.1535679,0.8502705,0.1097458,0.2260792,0.7660839,0.2820751
