sample,sex,age,cg01062068,cg20646757,cg18637244,cg26470314,cg20987014,cg07099827,cg15482003,cg27190967,cg01548188,cg14945638,cg02101625,cg16370826,cg11220950,cg04519296,cg26787199,cg00789347,cg07259398
GSM2333901,0,72,0.18495474,,0.07361079,0.63445159,,0.92700071,,0.50538647,,,0.04397518,0.05662255,0.53760298,0.89725696,0.10951771,0.40111909,0.03342258
GSM2333902,0,55,0.09571623,,0.05933360,0.59019284,,0.93083568,,0.43415281,,,0.02493420,0.03386296,0.49315496,0.85344079,0.13597998,0.38259346,0.01805587
GSM2333903,0,23,0.10784074,,0.06918525,0.65915915,,0.93882840,,0.48890695,,,0.02604616,0.05691737,0.43157568,0.91374563,0.12190599,0.44264825,0.02782276
GSM2333904,0,86,0.14093183,,0.07476664,0.75552141,,0.92815068,,0.56760216,,,0.03288481,0.05176548,0.58218414,0.92618453,0.11796103,0.39009264,0.04383100
GSM2333905,0,74,0.11723140,,0.05091581,0.64990100,,0.92241261,,0.45643426,,,0.04389817,0.03669749,0.50125337,0.89838786,0.11079418,0.32352240,0.03824754
GSM2333906,1,76,0.13457084,,0.09330387,0.67674223,,0.91596346,,0.55025523,,,0.05499309,0.08369020,0.53378158,0.91210485,0.10442900,0.38651017,0.02689639
GSM2333907,0,18,0.09410787,,0.06780762,0.53209133,,0.95113990,,0.37466377,,,0.03036980,0.02954767,0.42027055,0.90699263,0.17103334,0.37829087,0.04070062
GSM2333908,0,38,0.10694224,,0.04606853,0.64954149,,0.93905367,,0.56142846,,,0.04370083,0.03616825,0.43561889,0.84213874,0.09942301,0.40286216,0.02728088
GSM2333909,1,33,0.11277721,,0.05731462,0.63386002,,0.91050608,,0.50407858,,,0.03737684,0.03576148,0.47481555,0.87809446,0.14290182,0.37241135,0.02793349
GSM2333910,1,34,0.14091005,,0.05636326,0.62638676,,0.92910838,,0.45960569,,,0.03343259,0.05622279,0.44586019,0.91000327,0.15567958,0.38527048,0.03003190
GSM2333911,1,86,0.11116014,,0.07288961,0.66772211,,0.93327288,,0.47601165,,,0.03190079,0.05404480,0.55097065,0.90832936,0.08812767,0.37262984,0.03113343
